name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,0,0,9,False
LinearOffChipLoad,0,9,18,False
LinearOffChipLoad,0,18,27,False
LinearOffChipLoad,0,27,36,False
LinearOffChipLoad,0,36,45,False
LinearOffChipLoad,0,45,54,False
UnaryMap,1,9,25,False
UnaryMap,1,25,41,False
UnaryMap,1,41,57,False
UnaryMap,1,57,73,False
UnaryMap,1,73,89,False
UnaryMap,1,89,105,False
Bufferize,2,57,57,False
Bufferize,2,104,105,False
Streamify,3,57,60,False
Streamify,3,105,108,False
UnaryMap,4,60,61,False
UnaryMap,4,76,77,False
UnaryMap,4,92,93,False
UnaryMap,4,108,109,False
UnaryMap,4,124,125,False
UnaryMap,4,140,141,False
Bufferize,5,93,93,False
Bufferize,5,140,141,False
Streamify,6,93,96,False
Streamify,6,141,144,False
OffChipStore,7,96,105,False
OffChipStore,7,105,121,False
OffChipStore,7,121,137,False
OffChipStore,7,137,153,False
OffChipStore,7,153,169,False
OffChipStore,7,169,185,False
