context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,0,0,8,False,8
33,LinearOffChipLoad,0,8,16,False,8
33,LinearOffChipLoad,0,16,24,True,8
33,LinearOffChipLoad,0,26,34,False,8
33,LinearOffChipLoad,0,42,50,False,8
33,LinearOffChipLoad,0,58,66,True,8
34,UnaryMap,1,9,25,False,16
34,UnaryMap,1,25,41,False,16
34,UnaryMap,1,41,57,True,16
34,UnaryMap,1,57,73,False,16
34,UnaryMap,1,73,89,False,16
34,UnaryMap,1,89,105,True,16
35,Bufferize,2,26,58,False,32
35,Bufferize,2,74,106,False,32
36,Streamify,3,59,64,False,5
36,Streamify,3,107,112,False,5
37,UnaryMap,4,60,62,False,2
37,UnaryMap,4,62,64,False,2
37,UnaryMap,4,64,66,True,2
37,UnaryMap,4,108,110,False,2
37,UnaryMap,4,110,112,False,2
37,UnaryMap,4,112,114,True,2
38,Bufferize,5,63,67,False,4
38,Bufferize,5,111,115,False,4
39,Streamify,6,68,79,False,11
39,Streamify,6,116,127,False,11
40,OffChipStore,7,69,77,False,8
40,OffChipStore,7,77,85,False,8
40,OffChipStore,7,85,93,False,8
40,OffChipStore,7,117,125,False,8
40,OffChipStore,7,125,133,False,8
40,OffChipStore,7,133,141,False,8
