context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,0,0,20,False,20
33,LinearOffChipLoad,0,20,40,False,20
33,LinearOffChipLoad,0,40,60,False,20
33,LinearOffChipLoad,0,60,80,True,20
33,LinearOffChipLoad,0,80,101,False,21
33,LinearOffChipLoad,0,101,122,False,21
33,LinearOffChipLoad,0,122,143,False,21
33,LinearOffChipLoad,0,143,164,True,21
33,LinearOffChipLoad,0,164,185,False,21
33,LinearOffChipLoad,0,185,206,False,21
33,LinearOffChipLoad,0,206,227,False,21
33,LinearOffChipLoad,0,227,248,True,21
33,LinearOffChipLoad,0,248,269,False,21
33,LinearOffChipLoad,0,269,290,False,21
33,LinearOffChipLoad,0,290,311,False,21
33,LinearOffChipLoad,0,311,332,True,21
34,Bufferize,1,21,81,False,60
34,Bufferize,1,102,165,False,63
34,Bufferize,1,186,249,False,63
34,Bufferize,1,270,333,False,63
35,Streamify,2,82,125,False,43
35,Streamify,2,166,209,False,43
35,Streamify,2,250,293,False,43
35,Streamify,2,334,377,False,43
36,OffChipStore,3,83,103,False,20
36,OffChipStore,3,103,123,False,20
36,OffChipStore,3,123,144,False,21
36,OffChipStore,3,144,165,False,21
36,OffChipStore,3,167,187,False,20
36,OffChipStore,3,187,207,False,20
36,OffChipStore,3,207,228,False,21
36,OffChipStore,3,228,249,False,21
36,OffChipStore,3,251,271,False,20
36,OffChipStore,3,271,291,False,20
36,OffChipStore,3,291,312,False,21
36,OffChipStore,3,312,333,False,21
36,OffChipStore,3,335,355,False,20
36,OffChipStore,3,355,375,False,20
36,OffChipStore,3,375,395,False,20
36,OffChipStore,3,395,415,False,20
