context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,92,0,20,False,20
33,LinearOffChipLoad,92,20,41,False,21
33,LinearOffChipLoad,92,41,62,False,21
33,LinearOffChipLoad,92,62,83,True,21
33,LinearOffChipLoad,92,83,104,False,21
33,LinearOffChipLoad,92,104,125,False,21
33,LinearOffChipLoad,92,125,146,False,21
33,LinearOffChipLoad,92,146,167,True,21
33,LinearOffChipLoad,92,167,188,False,21
33,LinearOffChipLoad,92,188,209,False,21
33,LinearOffChipLoad,92,209,230,False,21
33,LinearOffChipLoad,92,230,251,True,21
33,LinearOffChipLoad,92,251,272,False,21
33,LinearOffChipLoad,92,272,293,False,21
33,LinearOffChipLoad,92,293,314,False,21
33,LinearOffChipLoad,92,314,335,True,21
34,OffChipStore,93,21,42,False,21
34,OffChipStore,93,42,63,False,21
34,OffChipStore,93,63,84,False,21
34,OffChipStore,93,84,105,False,21
34,OffChipStore,93,105,126,False,21
34,OffChipStore,93,126,147,False,21
34,OffChipStore,93,147,168,False,21
34,OffChipStore,93,168,189,False,21
34,OffChipStore,93,189,210,False,21
34,OffChipStore,93,210,231,False,21
34,OffChipStore,93,231,252,False,21
34,OffChipStore,93,252,273,False,21
34,OffChipStore,93,273,294,False,21
34,OffChipStore,93,294,315,False,21
34,OffChipStore,93,315,336,False,21
34,OffChipStore,93,336,356,False,20
