name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,164,0,29,False
LinearOffChipLoad,164,29,58,False
LinearOffChipLoad,164,58,87,False
LinearOffChipLoad,164,87,116,False
LinearOffChipLoad,164,116,145,False
LinearOffChipLoad,164,145,174,False
LinearOffChipLoad,164,174,203,False
LinearOffChipLoad,164,203,232,False
LinearOffChipLoad,165,0,29,False
LinearOffChipLoad,165,29,58,False
LinearOffChipLoad,165,58,87,False
LinearOffChipLoad,165,87,116,False
LinearOffChipLoad,165,116,145,False
LinearOffChipLoad,165,145,174,False
LinearOffChipLoad,165,174,203,False
LinearOffChipLoad,165,203,232,False
BinaryMap,166,29,157,False
BinaryMap,166,157,285,False
BinaryMap,166,285,413,False
BinaryMap,166,413,541,False
BinaryMap,166,541,669,False
BinaryMap,166,669,797,False
BinaryMap,166,797,925,False
BinaryMap,166,925,1053,False
OffChipStore,167,157,182,False
OffChipStore,167,182,310,False
OffChipStore,167,310,438,False
OffChipStore,167,438,566,False
OffChipStore,167,566,694,False
OffChipStore,167,694,822,False
OffChipStore,167,822,950,False
OffChipStore,167,950,1078,False
