name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,156,0,11,False
LinearOffChipLoad,156,11,22,False
LinearOffChipLoad,156,22,33,False
LinearOffChipLoad,156,33,44,False
LinearOffChipLoad,156,44,55,False
LinearOffChipLoad,156,55,66,False
LinearOffChipLoad,157,0,11,False
LinearOffChipLoad,157,11,22,False
LinearOffChipLoad,157,22,33,False
LinearOffChipLoad,157,33,44,False
LinearOffChipLoad,157,44,55,False
LinearOffChipLoad,157,55,66,False
BinaryMap,158,11,43,False
BinaryMap,158,43,75,False
BinaryMap,158,75,107,False
BinaryMap,158,107,139,False
BinaryMap,158,139,171,False
BinaryMap,158,171,203,False
OffChipStore,159,43,52,False
OffChipStore,159,52,84,False
OffChipStore,159,84,116,False
OffChipStore,159,116,148,False
OffChipStore,159,148,180,False
OffChipStore,159,180,212,False
