context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,160,0,9,False,9
33,LinearOffChipLoad,160,9,18,False,9
33,LinearOffChipLoad,160,18,27,False,9
33,LinearOffChipLoad,160,43,52,True,9
33,LinearOffChipLoad,160,75,84,False,9
33,LinearOffChipLoad,160,107,116,False,9
33,LinearOffChipLoad,160,139,148,False,9
33,LinearOffChipLoad,160,171,180,True,9
33,LinearOffChipLoad,160,203,212,False,9
33,LinearOffChipLoad,160,235,244,False,9
33,LinearOffChipLoad,160,267,276,False,9
33,LinearOffChipLoad,160,299,308,True,9
33,LinearOffChipLoad,160,331,340,False,9
33,LinearOffChipLoad,160,363,372,False,9
33,LinearOffChipLoad,160,395,404,False,9
33,LinearOffChipLoad,160,427,436,True,9
35,LinearOffChipLoad,161,0,9,False,9
35,LinearOffChipLoad,161,9,18,False,9
35,LinearOffChipLoad,161,18,27,False,9
35,LinearOffChipLoad,161,43,52,True,9
35,LinearOffChipLoad,161,75,84,False,9
35,LinearOffChipLoad,161,107,116,False,9
35,LinearOffChipLoad,161,139,148,False,9
35,LinearOffChipLoad,161,171,180,True,9
35,LinearOffChipLoad,161,203,212,False,9
35,LinearOffChipLoad,161,235,244,False,9
35,LinearOffChipLoad,161,267,276,False,9
35,LinearOffChipLoad,161,299,308,True,9
35,LinearOffChipLoad,161,331,340,False,9
35,LinearOffChipLoad,161,363,372,False,9
35,LinearOffChipLoad,161,395,404,False,9
35,LinearOffChipLoad,161,427,436,True,9
34,BinaryMap,162,10,42,False,32
34,BinaryMap,162,42,74,False,32
34,BinaryMap,162,74,106,False,32
34,BinaryMap,162,106,138,True,32
34,BinaryMap,162,138,170,False,32
34,BinaryMap,162,170,202,False,32
34,BinaryMap,162,202,234,False,32
34,BinaryMap,162,234,266,True,32
34,BinaryMap,162,266,298,False,32
34,BinaryMap,162,298,330,False,32
34,BinaryMap,162,330,362,False,32
34,BinaryMap,162,362,394,True,32
34,BinaryMap,162,394,426,False,32
34,BinaryMap,162,426,458,False,32
34,BinaryMap,162,458,490,False,32
34,BinaryMap,162,490,522,True,32
36,OffChipStore,163,43,51,False,8
36,OffChipStore,163,75,83,False,8
36,OffChipStore,163,107,115,False,8
36,OffChipStore,163,139,147,False,8
36,OffChipStore,163,171,179,False,8
36,OffChipStore,163,203,211,False,8
36,OffChipStore,163,235,243,False,8
36,OffChipStore,163,267,275,False,8
36,OffChipStore,163,299,307,False,8
36,OffChipStore,163,331,339,False,8
36,OffChipStore,163,363,371,False,8
36,OffChipStore,163,395,403,False,8
36,OffChipStore,163,427,435,False,8
36,OffChipStore,163,459,467,False,8
36,OffChipStore,163,491,499,False,8
36,OffChipStore,163,523,531,False,8
