op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
214,LinearOffChipLoad,LinearOffChipLoad_214,0.0,0,0.0,437944.0,86856,-351088.0,437944.0,86856,-351088.0,56.0,56,16.678571428571427,0,1551,1551,0,0,1551
215,LinearOffChipLoad,LinearOffChipLoad_215,0.0,0,0.0,439980.0,200984,-238996.0,439980.0,200984,-238996.0,56.0,56,2053.0,0,3589,3589,0,0,3589
216,BinaryMapAccum,BinaryMapAccum_216 (fn: Matmul(transposed=False)),2054.0,3589,1535.0,462598.0,464133,1535.0,460544.0,460544,0.0,56.0,56,8224.0,8224,8224,8224,0,0,11813
217,LinearOffChipLoad,LinearOffChipLoad_217,0.0,0,0.0,437944.0,86856,-351088.0,437944.0,86856,-351088.0,56.0,56,16.589285714285715,0,1551,1551,0,0,1551
218,LinearOffChipLoad,LinearOffChipLoad_218,0.0,0,0.0,439980.0,200984,-238996.0,439980.0,200984,-238996.0,56.0,56,2053.0,0,3589,3589,0,0,3589
219,BinaryMapAccum,BinaryMapAccum_219 (fn: Matmul(transposed=False)),2054.0,3589,1535.0,462598.0,464133,1535.0,460544.0,460544,0.0,56.0,56,8224.0,8224,8224,8224,0,0,11813
220,UnaryMap,UnaryMap_220 (fn: Silu),10279.0,11813,1534.0,462601.0,464134,1533.0,452322.0,452321,-1.0,56.0,56,2.0,1,8224,8224,0,0,11814
221,BinaryMap,BinaryMap_221 (fn: Mul),10282.0,11814,1532.0,462603.0,464135,1532.0,452321.0,452321,0.0,56.0,56,1.0,1,8224,8224,0,0,11815
222,Bufferize,Bufferize_222(1 D),10284.0,11815,1531.0,462604.0,464135,1531.0,452320.0,452320,0.0,8.0,8,49344.0,0,57568,57568,0,49344,61159
223,Streamify,Streamify_223 (1 D),59629.0,61159,1530.0,478994.0,464135,-14859.0,419365.0,402976,-16389.0,8.0,8,16389.0,0,57568,8224,0,0,61159
224,Reshape,Reshape_224 (1 D) (chunk: 1),,61159,,,513495,,,452336,,,56,,16,8224,8224,0,0,61175
225,LinearOffChipLoad,LinearOffChipLoad_225,0.0,0,0.0,497428.0,200984,-296444.0,497428.0,200984,-296444.0,56.0,56,2052.875,0,3589,3589,0,0,3589
226,BinaryMapAccum,BinaryMapAccum_226 (fn: Matmul(transposed=False)),59631.0,61175,1544.0,519951.0,521687,1736.0,460320.0,460512,192.0,56.0,8,8192.0,8192,57568,57568,0,49344,118711
227,OffChipStore,OffChipStore_227,116976.0,118711,1735.0,519964.0,521800,1836.0,402988.0,403089,101.0,8.0,8,12.875,0,57568,57568,57568,0,118824
