name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,200,0,79,False
LinearOffChipLoad,200,79,158,False
LinearOffChipLoad,200,158,237,False
LinearOffChipLoad,200,237,316,False
LinearOffChipLoad,200,316,395,False
LinearOffChipLoad,200,395,474,False
LinearOffChipLoad,200,474,553,False
LinearOffChipLoad,200,553,632,False
LinearOffChipLoad,200,632,711,False
LinearOffChipLoad,200,711,790,False
LinearOffChipLoad,200,790,869,False
LinearOffChipLoad,200,869,948,False
LinearOffChipLoad,200,948,1027,False
LinearOffChipLoad,200,1027,1106,False
LinearOffChipLoad,200,1106,1185,False
LinearOffChipLoad,200,1185,1264,False
LinearOffChipLoad,201,0,173,False
LinearOffChipLoad,201,173,346,False
LinearOffChipLoad,201,346,519,False
LinearOffChipLoad,201,519,692,False
LinearOffChipLoad,201,692,865,False
LinearOffChipLoad,201,865,1038,False
LinearOffChipLoad,201,1038,1211,False
LinearOffChipLoad,201,1211,1384,False
LinearOffChipLoad,201,1384,1557,False
LinearOffChipLoad,201,1557,1730,False
LinearOffChipLoad,201,1730,1903,False
LinearOffChipLoad,201,1903,2076,False
LinearOffChipLoad,201,2076,2249,False
LinearOffChipLoad,201,2249,2422,False
LinearOffChipLoad,201,2422,2595,False
LinearOffChipLoad,201,2595,2768,False
BinaryMapAccum,202,173,565,False
BinaryMapAccum,202,565,957,False
BinaryMapAccum,202,957,1349,False
BinaryMapAccum,202,1349,1741,False
BinaryMapAccum,202,1741,2133,False
BinaryMapAccum,202,2133,2525,False
BinaryMapAccum,202,2525,2917,False
BinaryMapAccum,202,2917,3309,False
BinaryMapAccum,202,3309,3701,False
BinaryMapAccum,202,3701,4093,False
BinaryMapAccum,202,4093,4485,False
BinaryMapAccum,202,4485,4877,False
BinaryMapAccum,202,4877,5269,False
BinaryMapAccum,202,5269,5661,False
BinaryMapAccum,202,5661,6053,False
BinaryMapAccum,202,6053,6445,False
LinearOffChipLoad,203,0,79,False
LinearOffChipLoad,203,79,158,False
LinearOffChipLoad,203,158,237,False
LinearOffChipLoad,203,237,316,False
LinearOffChipLoad,203,316,395,False
LinearOffChipLoad,203,395,474,False
LinearOffChipLoad,203,474,553,False
LinearOffChipLoad,203,553,632,False
LinearOffChipLoad,203,632,711,False
LinearOffChipLoad,203,711,790,False
LinearOffChipLoad,203,790,869,False
LinearOffChipLoad,203,869,948,False
LinearOffChipLoad,203,948,1027,False
LinearOffChipLoad,203,1027,1106,False
LinearOffChipLoad,203,1106,1185,False
LinearOffChipLoad,203,1185,1264,False
LinearOffChipLoad,204,0,173,False
LinearOffChipLoad,204,173,346,False
LinearOffChipLoad,204,346,519,False
LinearOffChipLoad,204,519,692,False
LinearOffChipLoad,204,692,865,False
LinearOffChipLoad,204,865,1038,False
LinearOffChipLoad,204,1038,1211,False
LinearOffChipLoad,204,1211,1384,False
LinearOffChipLoad,204,1384,1557,False
LinearOffChipLoad,204,1557,1730,False
LinearOffChipLoad,204,1730,1903,False
LinearOffChipLoad,204,1903,2076,False
LinearOffChipLoad,204,2076,2249,False
LinearOffChipLoad,204,2249,2422,False
LinearOffChipLoad,204,2422,2595,False
LinearOffChipLoad,204,2595,2768,False
BinaryMapAccum,205,173,565,False
BinaryMapAccum,205,565,957,False
BinaryMapAccum,205,957,1349,False
BinaryMapAccum,205,1349,1741,False
BinaryMapAccum,205,1741,2133,False
BinaryMapAccum,205,2133,2525,False
BinaryMapAccum,205,2525,2917,False
BinaryMapAccum,205,2917,3309,False
BinaryMapAccum,205,3309,3701,False
BinaryMapAccum,205,3701,4093,False
BinaryMapAccum,205,4093,4485,False
BinaryMapAccum,205,4485,4877,False
BinaryMapAccum,205,4877,5269,False
BinaryMapAccum,205,5269,5661,False
BinaryMapAccum,205,5661,6053,False
BinaryMapAccum,205,6053,6445,False
UnaryMap,206,565,566,False
UnaryMap,206,957,958,False
UnaryMap,206,1349,1350,False
UnaryMap,206,1741,1742,False
UnaryMap,206,2133,2134,False
UnaryMap,206,2525,2526,False
UnaryMap,206,2917,2918,False
UnaryMap,206,3309,3310,False
UnaryMap,206,3701,3702,False
UnaryMap,206,4093,4094,False
