op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
200,LinearOffChipLoad,LinearOffChipLoad_200,0.0,0,0.0,5206.0,1264,-3942.0,5206.0,1264,-3942.0,16.0,16,7.25,0,79,79,0,0,79
201,LinearOffChipLoad,LinearOffChipLoad_201,0.0,0,0.0,5300.0,2768,-2532.0,5300.0,2768,-2532.0,16.0,16,101.0,0,173,173,0,0,173
202,BinaryMapAccum,BinaryMapAccum_202 (fn: Matmul(transposed=False)),102.0,173,71.0,6374.0,6445,71.0,6272.0,6272,0.0,16.0,16,392.0,392,392,392,0,0,565
203,LinearOffChipLoad,LinearOffChipLoad_203,0.0,0,0.0,5206.0,1264,-3942.0,5206.0,1264,-3942.0,16.0,16,7.5,0,79,79,0,0,79
204,LinearOffChipLoad,LinearOffChipLoad_204,0.0,0,0.0,5300.0,2768,-2532.0,5300.0,2768,-2532.0,16.0,16,101.0,0,173,173,0,0,173
205,BinaryMapAccum,BinaryMapAccum_205 (fn: Matmul(transposed=False)),102.0,173,71.0,6374.0,6445,71.0,6272.0,6272,0.0,16.0,16,392.0,392,392,392,0,0,565
206,UnaryMap,UnaryMap_206 (fn: Silu),495.0,565,70.0,6376.0,6446,70.0,5881.0,5881,0.0,16.0,16,1.0,1,392,392,0,0,566
207,BinaryMap,BinaryMap_207 (fn: Mul),497.0,566,69.0,6378.0,6447,69.0,5881.0,5881,0.0,16.0,16,1.0,1,392,392,0,0,567
208,Bufferize,Bufferize_208(1 D),499.0,567,68.0,6379.0,6447,68.0,5880.0,5880,0.0,16.0,16,0.0,0,392,392,0,0,567
209,Streamify,Streamify_209 (1 D),500.0,567,67.0,6381.0,6447,66.0,5881.0,5880,-1.0,16.0,16,1.0,0,392,392,0,0,567
210,Reshape,Reshape_210 (1 D) (chunk: 1),,567,,,6450,,,5883,,,16,,3,392,392,0,0,570
211,LinearOffChipLoad,LinearOffChipLoad_211,0.0,0,0.0,5691.0,2768,-2923.0,5691.0,2768,-2923.0,16.0,16,100.9375,0,173,173,0,0,173
212,BinaryMapAccum,BinaryMapAccum_212 (fn: Matmul(transposed=False)),502.0,570,68.0,6766.0,6834,68.0,6264.0,6264,0.0,16.0,16,384.0,384,392,392,0,0,954
213,OffChipStore,OffChipStore_213,887.0,954,67.0,6773.0,6853,80.0,5886.0,5899,13.0,16.0,16,6.8125,0,392,392,392,0,973
