name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,172,0,24,False
LinearOffChipLoad,172,24,48,False
LinearOffChipLoad,172,48,72,False
LinearOffChipLoad,172,72,96,False
LinearOffChipLoad,173,0,47,False
LinearOffChipLoad,173,47,94,False
LinearOffChipLoad,173,94,141,False
LinearOffChipLoad,173,141,188,False
BinaryMapAccum,174,47,145,False
BinaryMapAccum,174,145,243,False
BinaryMapAccum,174,243,341,False
BinaryMapAccum,174,341,439,False
LinearOffChipLoad,175,0,24,False
LinearOffChipLoad,175,24,48,False
LinearOffChipLoad,175,48,72,False
LinearOffChipLoad,175,72,96,False
LinearOffChipLoad,176,0,47,False
LinearOffChipLoad,176,47,94,False
LinearOffChipLoad,176,94,141,False
LinearOffChipLoad,176,141,188,False
BinaryMapAccum,177,47,145,False
BinaryMapAccum,177,145,243,False
BinaryMapAccum,177,243,341,False
BinaryMapAccum,177,341,439,False
UnaryMap,178,145,146,False
UnaryMap,178,243,244,False
UnaryMap,178,341,342,False
UnaryMap,178,439,440,False
BinaryMap,179,146,147,False
BinaryMap,179,244,245,False
BinaryMap,179,342,343,False
BinaryMap,179,440,441,False
Bufferize,180,147,147,False
Bufferize,180,244,245,False
Bufferize,180,342,343,False
Bufferize,180,440,441,False
Streamify,181,147,147,False
Streamify,181,244,245,False
Streamify,181,342,343,False
Streamify,181,440,441,False
Reshape,182,147,150,False
Reshape,182,245,248,False
Reshape,182,343,346,False
Reshape,182,441,444,False
LinearOffChipLoad,183,0,47,False
LinearOffChipLoad,183,47,94,False
LinearOffChipLoad,183,94,141,False
LinearOffChipLoad,183,141,188,False
BinaryMapAccum,184,150,246,False
BinaryMapAccum,184,248,344,False
BinaryMapAccum,184,346,442,False
BinaryMapAccum,184,444,540,False
OffChipStore,185,246,252,False
OffChipStore,185,252,350,False
OffChipStore,185,350,448,False
OffChipStore,185,448,546,False
