context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,12,0,21,False,21
33,LinearOffChipLoad,12,21,42,True,21
33,LinearOffChipLoad,12,42,63,False,21
33,LinearOffChipLoad,12,151,172,True,21
33,LinearOffChipLoad,12,279,300,False,21
33,LinearOffChipLoad,12,407,428,True,21
33,LinearOffChipLoad,12,535,556,False,21
33,LinearOffChipLoad,12,663,684,True,21
33,LinearOffChipLoad,12,791,812,False,21
33,LinearOffChipLoad,12,919,940,True,21
33,LinearOffChipLoad,12,1047,1068,False,21
33,LinearOffChipLoad,12,1175,1196,True,21
33,LinearOffChipLoad,12,1303,1324,False,21
33,LinearOffChipLoad,12,1431,1452,True,21
33,LinearOffChipLoad,12,1559,1580,False,21
33,LinearOffChipLoad,12,1687,1708,True,21
35,LinearOffChipLoad,13,0,21,False,21
35,LinearOffChipLoad,13,21,42,True,21
35,LinearOffChipLoad,13,42,63,False,21
35,LinearOffChipLoad,13,151,172,True,21
35,LinearOffChipLoad,13,279,300,False,21
35,LinearOffChipLoad,13,407,428,True,21
35,LinearOffChipLoad,13,535,556,False,21
35,LinearOffChipLoad,13,663,684,True,21
35,LinearOffChipLoad,13,791,812,False,21
35,LinearOffChipLoad,13,919,940,True,21
35,LinearOffChipLoad,13,1047,1068,False,21
35,LinearOffChipLoad,13,1175,1196,True,21
35,LinearOffChipLoad,13,1303,1324,False,21
35,LinearOffChipLoad,13,1431,1452,True,21
35,LinearOffChipLoad,13,1559,1580,False,21
35,LinearOffChipLoad,13,1687,1708,True,21
34,BinaryMapAccum,14,22,150,False,128
34,BinaryMapAccum,14,150,278,False,128
34,BinaryMapAccum,14,278,406,False,128
34,BinaryMapAccum,14,406,534,False,128
34,BinaryMapAccum,14,534,662,False,128
34,BinaryMapAccum,14,662,790,False,128
34,BinaryMapAccum,14,790,918,False,128
34,BinaryMapAccum,14,918,1046,True,128
34,BinaryMapAccum,14,1046,1174,False,128
34,BinaryMapAccum,14,1174,1302,False,128
34,BinaryMapAccum,14,1302,1430,False,128
34,BinaryMapAccum,14,1430,1558,False,128
34,BinaryMapAccum,14,1558,1686,False,128
34,BinaryMapAccum,14,1686,1814,False,128
34,BinaryMapAccum,14,1814,1942,False,128
34,BinaryMapAccum,14,1942,2070,True,128
36,OffChipStore,15,279,300,False,21
36,OffChipStore,15,535,556,False,21
36,OffChipStore,15,791,812,False,21
36,OffChipStore,15,1047,1068,False,21
36,OffChipStore,15,1303,1324,False,21
36,OffChipStore,15,1559,1580,False,21
36,OffChipStore,15,1815,1835,False,20
36,OffChipStore,15,2071,2091,False,20
