name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,0,0,261,False
LinearOffChipLoad,0,261,522,False
LinearOffChipLoad,0,522,783,False
LinearOffChipLoad,0,783,1044,False
LinearOffChipLoad,0,1044,1305,False
LinearOffChipLoad,0,1305,1566,False
LinearOffChipLoad,0,1566,1827,False
LinearOffChipLoad,0,1827,2088,False
LinearOffChipLoad,0,2088,2349,False
LinearOffChipLoad,0,2349,2610,False
LinearOffChipLoad,0,2610,2871,False
LinearOffChipLoad,0,2871,3132,False
LinearOffChipLoad,0,3132,3393,False
LinearOffChipLoad,0,3393,3654,False
LinearOffChipLoad,0,3654,3915,False
LinearOffChipLoad,0,3915,4176,False
LinearOffChipLoad,1,0,1029,False
LinearOffChipLoad,1,1029,2058,False
LinearOffChipLoad,1,2058,3087,False
LinearOffChipLoad,1,3087,4116,False
LinearOffChipLoad,1,4116,5145,False
LinearOffChipLoad,1,5145,6174,False
LinearOffChipLoad,1,6174,7203,False
LinearOffChipLoad,1,7203,8232,False
LinearOffChipLoad,1,8232,9261,False
LinearOffChipLoad,1,9261,10290,False
LinearOffChipLoad,1,10290,11319,False
LinearOffChipLoad,1,11319,12348,False
LinearOffChipLoad,1,12348,13377,False
LinearOffChipLoad,1,13377,14406,False
LinearOffChipLoad,1,14406,15435,False
LinearOffChipLoad,1,15435,16464,False
BinaryMapAccum,2,50181,66565,False
BinaryMapAccum,2,115717,132101,False
BinaryMapAccum,2,181253,197637,False
BinaryMapAccum,2,246789,263173,False
OffChipStore,3,66565,67594,False
OffChipStore,3,67594,133130,False
OffChipStore,3,133130,198666,False
OffChipStore,3,198666,264202,False
