name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,0,0,11,False
LinearOffChipLoad,0,11,22,False
LinearOffChipLoad,0,22,33,False
LinearOffChipLoad,0,33,44,False
LinearOffChipLoad,0,44,55,False
LinearOffChipLoad,0,55,66,False
LinearOffChipLoad,1,0,25,False
LinearOffChipLoad,1,25,50,False
LinearOffChipLoad,1,50,75,False
LinearOffChipLoad,1,75,100,False
LinearOffChipLoad,1,100,125,False
LinearOffChipLoad,1,125,150,False
BinaryMapAccum,2,75,155,False
BinaryMapAccum,2,315,395,False
OffChipStore,3,155,178,False
OffChipStore,3,178,418,False
