name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,20,0,13,False
LinearOffChipLoad,20,13,26,False
LinearOffChipLoad,20,26,39,False
LinearOffChipLoad,20,39,52,False
LinearOffChipLoad,20,52,65,False
LinearOffChipLoad,20,65,78,False
LinearOffChipLoad,20,78,91,False
LinearOffChipLoad,20,91,104,False
LinearOffChipLoad,20,104,117,False
LinearOffChipLoad,20,117,130,False
LinearOffChipLoad,20,130,143,False
LinearOffChipLoad,20,143,156,False
LinearOffChipLoad,20,156,169,False
LinearOffChipLoad,20,169,182,False
LinearOffChipLoad,20,182,195,False
LinearOffChipLoad,20,195,208,False
LinearOffChipLoad,21,0,27,False
LinearOffChipLoad,21,27,54,False
LinearOffChipLoad,21,54,81,False
LinearOffChipLoad,21,81,108,False
LinearOffChipLoad,21,108,135,False
LinearOffChipLoad,21,135,162,False
LinearOffChipLoad,21,162,189,False
LinearOffChipLoad,21,189,216,False
LinearOffChipLoad,21,216,243,False
LinearOffChipLoad,21,243,270,False
LinearOffChipLoad,21,270,297,False
LinearOffChipLoad,21,297,324,False
LinearOffChipLoad,21,324,351,False
LinearOffChipLoad,21,351,378,False
LinearOffChipLoad,21,378,405,False
LinearOffChipLoad,21,405,432,False
BinaryMapAccum,22,108,188,False
BinaryMapAccum,22,428,508,False
BinaryMapAccum,22,748,828,False
BinaryMapAccum,22,1068,1148,False
OffChipStore,23,188,213,False
OffChipStore,23,213,533,False
OffChipStore,23,533,853,False
OffChipStore,23,853,1173,False
