name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,24,0,25,False
LinearOffChipLoad,24,25,50,False
LinearOffChipLoad,24,50,75,False
LinearOffChipLoad,24,75,100,False
LinearOffChipLoad,24,100,125,False
LinearOffChipLoad,24,125,150,False
LinearOffChipLoad,24,150,175,False
LinearOffChipLoad,24,175,200,False
LinearOffChipLoad,24,200,225,False
LinearOffChipLoad,24,225,250,False
LinearOffChipLoad,24,250,275,False
LinearOffChipLoad,24,275,300,False
LinearOffChipLoad,24,300,325,False
LinearOffChipLoad,24,325,350,False
LinearOffChipLoad,24,350,375,False
LinearOffChipLoad,24,375,400,False
LinearOffChipLoad,25,0,89,False
LinearOffChipLoad,25,89,178,False
LinearOffChipLoad,25,178,267,False
LinearOffChipLoad,25,267,356,False
LinearOffChipLoad,25,356,445,False
LinearOffChipLoad,25,445,534,False
LinearOffChipLoad,25,534,623,False
LinearOffChipLoad,25,623,712,False
LinearOffChipLoad,25,712,801,False
LinearOffChipLoad,25,801,890,False
LinearOffChipLoad,25,890,979,False
LinearOffChipLoad,25,979,1068,False
LinearOffChipLoad,25,1068,1157,False
LinearOffChipLoad,25,1157,1246,False
LinearOffChipLoad,25,1246,1335,False
LinearOffChipLoad,25,1335,1424,False
BinaryMapAccum,26,712,984,False
BinaryMapAccum,26,2888,3160,False
OffChipStore,27,984,1071,False
OffChipStore,27,1071,3247,False
