name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,48,0,53,False
LinearOffChipLoad,48,53,106,False
LinearOffChipLoad,48,106,159,False
LinearOffChipLoad,48,159,212,False
LinearOffChipLoad,48,212,265,False
LinearOffChipLoad,48,265,318,False
LinearOffChipLoad,48,318,371,False
LinearOffChipLoad,48,371,424,False
LinearOffChipLoad,49,0,53,False
LinearOffChipLoad,49,53,106,False
LinearOffChipLoad,49,106,159,False
LinearOffChipLoad,49,159,212,False
LinearOffChipLoad,49,212,265,False
LinearOffChipLoad,49,265,318,False
LinearOffChipLoad,49,318,371,False
LinearOffChipLoad,49,371,424,False
BinaryMapAccum,50,53,309,False
BinaryMapAccum,50,309,565,False
BinaryMapAccum,50,565,821,False
BinaryMapAccum,50,821,1077,False
BinaryMapAccum,50,1077,1333,False
BinaryMapAccum,50,1333,1589,False
BinaryMapAccum,50,1589,1845,False
BinaryMapAccum,50,1845,2101,False
OffChipStore,51,309,334,False
OffChipStore,51,334,590,False
OffChipStore,51,590,846,False
OffChipStore,51,846,1102,False
OffChipStore,51,1102,1358,False
OffChipStore,51,1358,1614,False
OffChipStore,51,1614,1870,False
OffChipStore,51,1870,2126,False
