name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,36,0,23,False
LinearOffChipLoad,36,23,46,False
LinearOffChipLoad,36,46,69,False
LinearOffChipLoad,36,69,92,False
LinearOffChipLoad,36,92,115,False
LinearOffChipLoad,36,115,138,False
LinearOffChipLoad,36,138,161,False
LinearOffChipLoad,36,161,184,False
LinearOffChipLoad,37,0,23,False
LinearOffChipLoad,37,23,46,False
LinearOffChipLoad,37,46,69,False
LinearOffChipLoad,37,69,92,False
LinearOffChipLoad,37,92,115,False
LinearOffChipLoad,37,115,138,False
LinearOffChipLoad,37,138,161,False
LinearOffChipLoad,37,161,184,False
BinaryMapAccum,38,23,119,False
BinaryMapAccum,38,119,215,False
BinaryMapAccum,38,215,311,False
BinaryMapAccum,38,311,407,False
BinaryMapAccum,38,407,503,False
BinaryMapAccum,38,503,599,False
BinaryMapAccum,38,599,695,False
BinaryMapAccum,38,695,791,False
OffChipStore,39,119,128,False
OffChipStore,39,128,224,False
OffChipStore,39,224,320,False
OffChipStore,39,320,416,False
OffChipStore,39,416,512,False
OffChipStore,39,512,608,False
OffChipStore,39,608,704,False
OffChipStore,39,704,800,False
