context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,40,0,21,True,21
33,LinearOffChipLoad,40,21,42,True,21
33,LinearOffChipLoad,40,42,63,True,21
33,LinearOffChipLoad,40,151,172,True,21
33,LinearOffChipLoad,40,279,300,True,21
33,LinearOffChipLoad,40,407,428,True,21
33,LinearOffChipLoad,40,535,556,True,21
33,LinearOffChipLoad,40,663,684,True,21
33,LinearOffChipLoad,40,791,812,True,21
33,LinearOffChipLoad,40,919,940,True,21
33,LinearOffChipLoad,40,1047,1068,True,21
33,LinearOffChipLoad,40,1175,1196,True,21
33,LinearOffChipLoad,40,1303,1324,True,21
33,LinearOffChipLoad,40,1431,1452,True,21
33,LinearOffChipLoad,40,1559,1580,True,21
33,LinearOffChipLoad,40,1687,1708,True,21
35,LinearOffChipLoad,41,0,21,True,21
35,LinearOffChipLoad,41,21,42,True,21
35,LinearOffChipLoad,41,42,63,True,21
35,LinearOffChipLoad,41,151,172,True,21
35,LinearOffChipLoad,41,279,300,True,21
35,LinearOffChipLoad,41,407,428,True,21
35,LinearOffChipLoad,41,535,556,True,21
35,LinearOffChipLoad,41,663,684,True,21
35,LinearOffChipLoad,41,791,812,True,21
35,LinearOffChipLoad,41,919,940,True,21
35,LinearOffChipLoad,41,1047,1068,True,21
35,LinearOffChipLoad,41,1175,1196,True,21
35,LinearOffChipLoad,41,1303,1324,True,21
35,LinearOffChipLoad,41,1431,1452,True,21
35,LinearOffChipLoad,41,1559,1580,True,21
35,LinearOffChipLoad,41,1687,1708,True,21
34,BinaryMapAccum,42,22,150,False,128
34,BinaryMapAccum,42,150,278,False,128
34,BinaryMapAccum,42,278,406,False,128
34,BinaryMapAccum,42,406,534,True,128
34,BinaryMapAccum,42,534,662,False,128
34,BinaryMapAccum,42,662,790,False,128
34,BinaryMapAccum,42,790,918,False,128
34,BinaryMapAccum,42,918,1046,True,128
34,BinaryMapAccum,42,1046,1174,False,128
34,BinaryMapAccum,42,1174,1302,False,128
34,BinaryMapAccum,42,1302,1430,False,128
34,BinaryMapAccum,42,1430,1558,True,128
34,BinaryMapAccum,42,1558,1686,False,128
34,BinaryMapAccum,42,1686,1814,False,128
34,BinaryMapAccum,42,1814,1942,False,128
34,BinaryMapAccum,42,1942,2070,True,128
36,OffChipStore,43,151,159,False,8
36,OffChipStore,43,279,287,False,8
36,OffChipStore,43,407,415,False,8
36,OffChipStore,43,535,543,False,8
36,OffChipStore,43,663,671,False,8
36,OffChipStore,43,791,799,False,8
36,OffChipStore,43,919,927,False,8
36,OffChipStore,43,1047,1055,False,8
36,OffChipStore,43,1175,1183,False,8
36,OffChipStore,43,1303,1311,False,8
36,OffChipStore,43,1431,1439,False,8
36,OffChipStore,43,1559,1567,False,8
36,OffChipStore,43,1687,1695,False,8
36,OffChipStore,43,1815,1823,False,8
36,OffChipStore,43,1943,1951,False,8
36,OffChipStore,43,2071,2079,False,8
