name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,44,0,25,False
LinearOffChipLoad,44,25,50,False
LinearOffChipLoad,44,50,75,False
LinearOffChipLoad,44,75,100,False
LinearOffChipLoad,44,100,125,False
LinearOffChipLoad,44,125,150,False
LinearOffChipLoad,44,150,175,False
LinearOffChipLoad,44,175,200,False
LinearOffChipLoad,45,0,37,False
LinearOffChipLoad,45,37,74,False
LinearOffChipLoad,45,74,111,False
LinearOffChipLoad,45,111,148,False
LinearOffChipLoad,45,148,185,False
LinearOffChipLoad,45,185,222,False
LinearOffChipLoad,45,222,259,False
LinearOffChipLoad,45,259,296,False
BinaryMapAccum,46,37,181,False
BinaryMapAccum,46,181,325,False
BinaryMapAccum,46,325,469,False
BinaryMapAccum,46,469,613,False
BinaryMapAccum,46,613,757,False
BinaryMapAccum,46,757,901,False
BinaryMapAccum,46,901,1045,False
BinaryMapAccum,46,1045,1189,False
OffChipStore,47,181,196,False
OffChipStore,47,196,340,False
OffChipStore,47,340,484,False
OffChipStore,47,484,628,False
OffChipStore,47,628,772,False
OffChipStore,47,772,916,False
OffChipStore,47,916,1060,False
OffChipStore,47,1060,1204,False
