context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,44,0,17,True,17
33,LinearOffChipLoad,44,17,33,True,16
33,LinearOffChipLoad,44,33,50,True,17
33,LinearOffChipLoad,44,175,192,True,17
33,LinearOffChipLoad,44,319,336,True,17
33,LinearOffChipLoad,44,463,480,True,17
33,LinearOffChipLoad,44,607,624,True,17
33,LinearOffChipLoad,44,751,768,True,17
35,LinearOffChipLoad,45,0,29,True,29
35,LinearOffChipLoad,45,29,57,True,28
35,LinearOffChipLoad,45,57,85,True,28
35,LinearOffChipLoad,45,175,203,True,28
35,LinearOffChipLoad,45,319,347,True,28
35,LinearOffChipLoad,45,463,491,True,28
35,LinearOffChipLoad,45,607,635,True,28
35,LinearOffChipLoad,45,751,779,True,28
34,BinaryMapAccum,46,30,174,False,144
34,BinaryMapAccum,46,174,318,False,144
34,BinaryMapAccum,46,318,462,False,144
34,BinaryMapAccum,46,462,606,True,144
34,BinaryMapAccum,46,606,750,False,144
34,BinaryMapAccum,46,750,894,False,144
34,BinaryMapAccum,46,894,1038,False,144
34,BinaryMapAccum,46,1038,1182,True,144
36,OffChipStore,47,175,188,False,13
36,OffChipStore,47,319,332,False,13
36,OffChipStore,47,463,476,False,13
36,OffChipStore,47,607,620,False,13
36,OffChipStore,47,751,764,False,13
36,OffChipStore,47,895,907,False,12
36,OffChipStore,47,1039,1051,False,12
36,OffChipStore,47,1183,1195,False,12
