name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,60,0,31,False
LinearOffChipLoad,60,31,62,False
LinearOffChipLoad,60,62,93,False
LinearOffChipLoad,60,93,124,False
LinearOffChipLoad,60,124,155,False
LinearOffChipLoad,60,155,186,False
LinearOffChipLoad,60,186,217,False
LinearOffChipLoad,60,217,248,False
LinearOffChipLoad,60,248,279,False
LinearOffChipLoad,60,279,310,False
LinearOffChipLoad,60,310,341,False
LinearOffChipLoad,60,341,372,False
LinearOffChipLoad,60,372,403,False
LinearOffChipLoad,60,403,434,False
LinearOffChipLoad,60,434,465,False
LinearOffChipLoad,60,465,496,False
LinearOffChipLoad,61,0,31,False
LinearOffChipLoad,61,31,62,False
LinearOffChipLoad,61,62,93,False
LinearOffChipLoad,61,93,124,False
LinearOffChipLoad,61,124,155,False
LinearOffChipLoad,61,155,186,False
LinearOffChipLoad,61,186,217,False
LinearOffChipLoad,61,217,248,False
LinearOffChipLoad,61,248,279,False
LinearOffChipLoad,61,279,310,False
LinearOffChipLoad,61,310,341,False
LinearOffChipLoad,61,341,372,False
LinearOffChipLoad,61,372,403,False
LinearOffChipLoad,61,403,434,False
LinearOffChipLoad,61,434,465,False
LinearOffChipLoad,61,465,496,False
BinaryMapAccum,62,62,190,False
BinaryMapAccum,62,318,446,False
BinaryMapAccum,62,574,702,False
BinaryMapAccum,62,830,958,False
BinaryMapAccum,62,1086,1214,False
BinaryMapAccum,62,1342,1470,False
BinaryMapAccum,62,1598,1726,False
BinaryMapAccum,62,1854,1982,False
OffChipStore,63,190,215,False
OffChipStore,63,215,471,False
OffChipStore,63,471,727,False
OffChipStore,63,727,983,False
OffChipStore,63,983,1239,False
OffChipStore,63,1239,1495,False
OffChipStore,63,1495,1751,False
OffChipStore,63,1751,2007,False
