context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,52,0,9,False,9
33,LinearOffChipLoad,52,9,18,False,9
33,LinearOffChipLoad,52,18,27,True,9
33,LinearOffChipLoad,52,43,52,False,9
33,LinearOffChipLoad,52,75,84,False,9
33,LinearOffChipLoad,52,107,116,True,9
33,LinearOffChipLoad,52,139,148,False,9
33,LinearOffChipLoad,52,171,180,False,9
33,LinearOffChipLoad,52,203,212,True,9
33,LinearOffChipLoad,52,235,244,False,9
33,LinearOffChipLoad,52,267,276,False,9
33,LinearOffChipLoad,52,299,308,True,9
33,LinearOffChipLoad,52,331,340,False,9
33,LinearOffChipLoad,52,363,372,False,9
33,LinearOffChipLoad,52,395,404,True,9
33,LinearOffChipLoad,52,427,436,False,9
33,LinearOffChipLoad,52,459,468,False,9
33,LinearOffChipLoad,52,491,500,True,9
33,LinearOffChipLoad,52,523,532,False,9
33,LinearOffChipLoad,52,555,564,False,9
33,LinearOffChipLoad,52,587,596,True,9
33,LinearOffChipLoad,52,619,628,False,9
33,LinearOffChipLoad,52,651,660,False,9
33,LinearOffChipLoad,52,683,692,True,9
35,LinearOffChipLoad,53,0,9,False,9
35,LinearOffChipLoad,53,9,18,False,9
35,LinearOffChipLoad,53,18,27,True,9
35,LinearOffChipLoad,53,43,52,False,9
35,LinearOffChipLoad,53,75,84,False,9
35,LinearOffChipLoad,53,107,116,True,9
35,LinearOffChipLoad,53,139,148,False,9
35,LinearOffChipLoad,53,171,180,False,9
35,LinearOffChipLoad,53,203,212,True,9
35,LinearOffChipLoad,53,235,244,False,9
35,LinearOffChipLoad,53,267,276,False,9
35,LinearOffChipLoad,53,299,308,True,9
35,LinearOffChipLoad,53,331,340,False,9
35,LinearOffChipLoad,53,363,372,False,9
35,LinearOffChipLoad,53,395,404,True,9
35,LinearOffChipLoad,53,427,436,False,9
35,LinearOffChipLoad,53,459,468,False,9
35,LinearOffChipLoad,53,491,500,True,9
35,LinearOffChipLoad,53,523,532,False,9
35,LinearOffChipLoad,53,555,564,False,9
35,LinearOffChipLoad,53,587,596,True,9
35,LinearOffChipLoad,53,619,628,False,9
35,LinearOffChipLoad,53,651,660,False,9
35,LinearOffChipLoad,53,683,692,True,9
34,BinaryMapAccum,54,10,42,False,32
34,BinaryMapAccum,54,42,74,False,32
34,BinaryMapAccum,54,74,106,False,32
34,BinaryMapAccum,54,106,138,False,32
34,BinaryMapAccum,54,138,170,False,32
34,BinaryMapAccum,54,170,202,False,32
34,BinaryMapAccum,54,202,234,False,32
34,BinaryMapAccum,54,234,266,False,32
34,BinaryMapAccum,54,266,298,False,32
34,BinaryMapAccum,54,298,330,False,32
34,BinaryMapAccum,54,330,362,False,32
34,BinaryMapAccum,54,362,394,True,32
34,BinaryMapAccum,54,394,426,False,32
34,BinaryMapAccum,54,426,458,False,32
34,BinaryMapAccum,54,458,490,False,32
34,BinaryMapAccum,54,490,522,False,32
34,BinaryMapAccum,54,522,554,False,32
34,BinaryMapAccum,54,554,586,False,32
34,BinaryMapAccum,54,586,618,False,32
34,BinaryMapAccum,54,618,650,False,32
34,BinaryMapAccum,54,650,682,False,32
34,BinaryMapAccum,54,682,714,False,32
34,BinaryMapAccum,54,714,746,False,32
34,BinaryMapAccum,54,746,778,True,32
36,OffChipStore,55,107,115,False,8
36,OffChipStore,55,203,211,False,8
36,OffChipStore,55,299,307,False,8
36,OffChipStore,55,395,403,False,8
36,OffChipStore,55,491,499,False,8
36,OffChipStore,55,587,595,False,8
36,OffChipStore,55,683,691,False,8
36,OffChipStore,55,779,787,False,8
