op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
0,LinearOffChipLoad,LinearOffChipLoad_0,0.0,0,0.0,34007.0,8272,-25735.0,34007.0,8272,-25735.0,16.0,16,516.25,0,517,517,0,0,517
1,UnaryMap,UnaryMap_1 (fn: MulImmediate),518.0,517,-1.0,47909.0,33285,-14624.0,47391.0,32768,-14623.0,16.0,16,2048.0,2048,2048,2048,0,0,2565
2,UnaryMap,UnaryMap_2 (fn: RowWiseSum),2567.0,2565,-2.0,47942.0,33317,-14625.0,45375.0,30752,-14623.0,16.0,16,32.0,32,2048,2048,0,0,2597
3,Accum,Accum_3 (1 D) (fn: Add),4648.0,2597,-2051.0,47944.0,33318,-14626.0,43296.0,30721,-12575.0,8.0,8,1.0,1,4096,4096,0,2048,4646
4,UnaryMap,UnaryMap_4 (fn: MulImmediate),4650.0,4646,-4.0,47946.0,33319,-14627.0,43296.0,28673,-14623.0,8.0,8,1.0,1,4096,4096,0,0,4647
5,RepeatStatic,RepeatStatic_5,,4647,,,35367,,,30720,,,16,,0,4096,2048,0,0,4647
6,BinaryMap,BinaryMap_6 (fn: Add),4653.0,4647,-6.0,52044.0,37415,-14629.0,47391.0,32768,-14623.0,16.0,16,2048.0,2048,2048,2048,0,0,6695
7,UnaryMap,UnaryMap_7 (fn: Square),6703.0,6695,-8.0,52078.0,37447,-14631.0,45375.0,30752,-14623.0,16.0,16,32.0,32,2048,2048,0,0,6727
8,UnaryMap,UnaryMap_8 (fn: MulImmediate),6736.0,6727,-9.0,52111.0,37479,-14632.0,45375.0,30752,-14623.0,16.0,16,32.0,32,2048,2048,0,0,6759
9,UnaryMap,UnaryMap_9 (fn: RowWiseSum),6769.0,6759,-10.0,52144.0,37511,-14633.0,45375.0,30752,-14623.0,16.0,16,32.0,32,2048,2048,0,0,6791
10,Accum,Accum_10 (1 D) (fn: Add),8850.0,6791,-2059.0,52146.0,37512,-14634.0,43296.0,30721,-12575.0,8.0,8,1.0,1,4096,4096,0,2048,8840
11,UnaryMap,UnaryMap_11 (fn: AddImmediate),8852.0,8840,-12.0,52148.0,37513,-14635.0,43296.0,28673,-14623.0,8.0,8,1.0,1,4096,4096,0,0,8841
12,UnaryMap,UnaryMap_12 (fn: Rsqrt),8854.0,8841,-13.0,52150.0,37514,-14636.0,43296.0,28673,-14623.0,8.0,8,1.0,1,4096,4096,0,0,8842
13,RepeatStatic,RepeatStatic_13,,8842,,,39562,,,30720,,,16,,0,4096,2048,0,0,8842
14,BinaryMap,BinaryMap_14 (fn: Mul),8857.0,8842,-15.0,56248.0,41610,-14638.0,47391.0,32768,-14623.0,16.0,16,2048.0,2048,2048,2048,0,0,10890
15,OffChipStore,OffChipStore_15,10906.0,10890,-16.0,56765.0,42127,-14638.0,45859.0,31237,-14622.0,16.0,16,516.0,0,2048,2048,2048,0,11407
16,Broadcast,Broadcast_16,,517,,,8272,,,7755,,,16,,0,517,517,0,0,517
17,Broadcast,Broadcast_17,,6695,,,37415,,,30720,,,16,,0,2048,2048,0,0,6695
