name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,0,0,261,False
LinearOffChipLoad,0,261,522,False
LinearOffChipLoad,0,522,783,False
LinearOffChipLoad,0,783,1044,False
LinearOffChipLoad,0,1044,1305,False
LinearOffChipLoad,0,1305,1566,False
LinearOffChipLoad,0,1566,1827,False
LinearOffChipLoad,0,1827,2088,False
UnaryMap,1,261,1285,False
UnaryMap,1,1285,2309,False
UnaryMap,1,2309,3333,False
UnaryMap,1,3333,4357,False
UnaryMap,1,4357,5381,False
UnaryMap,1,5381,6405,False
UnaryMap,1,6405,7429,False
UnaryMap,1,7429,8453,False
UnaryMap,2,1285,1301,False
UnaryMap,2,2309,2325,False
UnaryMap,2,3333,3349,False
UnaryMap,2,4357,4373,False
UnaryMap,2,5381,5397,False
UnaryMap,2,6405,6421,False
UnaryMap,2,7429,7445,False
UnaryMap,2,8453,8469,False
UnaryMap,3,1301,1302,False
UnaryMap,3,2325,2326,False
UnaryMap,3,3349,3350,False
UnaryMap,3,4373,4374,False
UnaryMap,3,5397,5398,False
UnaryMap,3,6421,6422,False
UnaryMap,3,7445,7446,False
UnaryMap,3,8469,8470,False
BinaryMap,4,1302,2326,False
BinaryMap,4,2326,3350,False
BinaryMap,4,3350,4374,False
BinaryMap,4,4374,5398,False
BinaryMap,4,5398,6422,False
BinaryMap,4,6422,7446,False
BinaryMap,4,7446,8470,False
BinaryMap,4,8470,9494,False
UnaryMap,5,2326,2342,False
UnaryMap,5,3350,3366,False
UnaryMap,5,4374,4390,False
UnaryMap,5,5398,5414,False
UnaryMap,5,6422,6438,False
UnaryMap,5,7446,7462,False
UnaryMap,5,8470,8486,False
UnaryMap,5,9494,9510,False
UnaryMap,6,2342,2358,False
UnaryMap,6,3366,3382,False
UnaryMap,6,4390,4406,False
UnaryMap,6,5414,5430,False
UnaryMap,6,6438,6454,False
UnaryMap,6,7462,7478,False
UnaryMap,6,8486,8502,False
UnaryMap,6,9510,9526,False
UnaryMap,7,2358,2374,False
UnaryMap,7,3382,3398,False
UnaryMap,7,4406,4422,False
UnaryMap,7,5430,5446,False
UnaryMap,7,6454,6470,False
UnaryMap,7,7478,7494,False
UnaryMap,7,8502,8518,False
UnaryMap,7,9526,9542,False
UnaryMap,8,2374,2375,False
UnaryMap,8,3398,3399,False
UnaryMap,8,4422,4423,False
UnaryMap,8,5446,5447,False
UnaryMap,8,6470,6471,False
UnaryMap,8,7494,7495,False
UnaryMap,8,8518,8519,False
UnaryMap,8,9542,9543,False
UnaryMap,9,2375,2376,False
UnaryMap,9,3399,3400,False
UnaryMap,9,4423,4424,False
UnaryMap,9,5447,5448,False
UnaryMap,9,6471,6472,False
UnaryMap,9,7495,7496,False
UnaryMap,9,8519,8520,False
UnaryMap,9,9543,9544,False
BinaryMap,10,2376,3400,False
BinaryMap,10,3400,4424,False
BinaryMap,10,4424,5448,False
BinaryMap,10,5448,6472,False
BinaryMap,10,6472,7496,False
BinaryMap,10,7496,8520,False
BinaryMap,10,8520,9544,False
BinaryMap,10,9544,10568,False
OffChipStore,11,3400,3661,False
OffChipStore,11,3661,4685,False
OffChipStore,11,4685,5709,False
OffChipStore,11,5709,6733,False
OffChipStore,11,6733,7757,False
OffChipStore,11,7757,8781,False
OffChipStore,11,8781,9805,False
OffChipStore,11,9805,10829,False
Broadcast,12,261,261,False
Broadcast,12,521,522,False
Broadcast,12,782,783,False
Broadcast,12,1043,1044,False
Broadcast,12,1304,1305,False
Broadcast,12,1565,1566,False
Broadcast,12,1826,1827,False
Broadcast,12,2087,2088,False
Broadcast,13,2326,2326,False
Broadcast,13,3349,3350,False
Broadcast,13,4373,4374,False
Broadcast,13,5397,5398,False
Broadcast,13,6421,6422,False
Broadcast,13,7445,7446,False
Broadcast,13,8469,8470,False
Broadcast,13,9493,9494,False
