op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
0,LinearOffChipLoad,LinearOffChipLoad_0,0.0,0,0.0,3617.0,2088,-1529.0,3617.0,2088,-1529.0,8.0,8,260.125,0,261,261,0,0,261
1,UnaryMap,UnaryMap_1 (fn: MulImmediate),262.0,261,-1.0,8520.0,8453,-67.0,8258.0,8192,-66.0,8.0,8,1024.0,1024,1024,1024,0,0,1285
2,UnaryMap,UnaryMap_2 (fn: RowWiseSum),1287.0,1285,-2.0,8537.0,8469,-68.0,7250.0,7184,-66.0,8.0,8,16.0,16,1024,1024,0,0,1301
3,UnaryMap,UnaryMap_3 (fn: MulImmediate),1304.0,1301,-3.0,8539.0,8470,-69.0,7235.0,7169,-66.0,8.0,8,1.0,1,1024,1024,0,0,1302
4,BinaryMap,BinaryMap_4 (fn: Add),1306.0,1302,-4.0,9564.0,9494,-70.0,8258.0,8192,-66.0,8.0,8,1024.0,1024,1024,1024,0,0,2326
5,UnaryMap,UnaryMap_5 (fn: Square),2332.0,2326,-6.0,9582.0,9510,-72.0,7250.0,7184,-66.0,8.0,8,16.0,16,1024,1024,0,0,2342
6,UnaryMap,UnaryMap_6 (fn: MulImmediate),2349.0,2342,-7.0,9599.0,9526,-73.0,7250.0,7184,-66.0,8.0,8,16.0,16,1024,1024,0,0,2358
7,UnaryMap,UnaryMap_7 (fn: RowWiseSum),2366.0,2358,-8.0,9616.0,9542,-74.0,7250.0,7184,-66.0,8.0,8,16.0,16,1024,1024,0,0,2374
8,UnaryMap,UnaryMap_8 (fn: AddImmediate),2383.0,2374,-9.0,9618.0,9543,-75.0,7235.0,7169,-66.0,8.0,8,1.0,1,1024,1024,0,0,2375
9,UnaryMap,UnaryMap_9 (fn: Rsqrt),2385.0,2375,-10.0,9620.0,9544,-76.0,7235.0,7169,-66.0,8.0,8,1.0,1,1024,1024,0,0,2376
10,BinaryMap,BinaryMap_10 (fn: Mul),2387.0,2376,-11.0,10645.0,10568,-77.0,8258.0,8192,-66.0,8.0,8,1024.0,1024,1024,1024,0,0,3400
11,OffChipStore,OffChipStore_11,3412.0,3400,-12.0,10906.0,10829,-77.0,7494.0,7429,-65.0,8.0,8,260.0,0,1024,1024,1024,0,3661
12,Broadcast,Broadcast_12,,261,,,2088,,,1827,,,8,,0,261,261,0,0,261
13,Broadcast,Broadcast_13,,2326,,,9494,,,7168,,,8,,0,1024,1024,0,0,2326
