context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,0,0,260,True,260
33,LinearOffChipLoad,0,260,520,True,260
33,LinearOffChipLoad,0,520,780,True,260
33,LinearOffChipLoad,0,780,1040,True,260
33,LinearOffChipLoad,0,1040,1300,True,260
33,LinearOffChipLoad,0,1300,1560,True,260
33,LinearOffChipLoad,0,2332,2592,True,260
33,LinearOffChipLoad,0,3356,3617,True,261
34,UnaryMap,1,262,1286,True,1024
34,UnaryMap,1,1286,2310,True,1024
34,UnaryMap,1,2332,3356,True,1024
34,UnaryMap,1,3356,4380,True,1024
34,UnaryMap,1,4402,5426,True,1024
34,UnaryMap,1,5426,6450,True,1024
34,UnaryMap,1,6472,7496,True,1024
34,UnaryMap,1,7496,8520,True,1024
35,UnaryMap,2,1287,1303,True,16
35,UnaryMap,2,2311,2327,True,16
35,UnaryMap,2,3357,3373,True,16
35,UnaryMap,2,4381,4397,True,16
35,UnaryMap,2,5427,5443,True,16
35,UnaryMap,2,6451,6467,True,16
35,UnaryMap,2,7497,7513,True,16
35,UnaryMap,2,8521,8537,True,16
36,UnaryMap,3,1304,1305,True,1
36,UnaryMap,3,2328,2329,True,1
36,UnaryMap,3,3374,3375,True,1
36,UnaryMap,3,4398,4399,True,1
36,UnaryMap,3,5444,5445,True,1
36,UnaryMap,3,6468,6469,True,1
36,UnaryMap,3,7514,7515,True,1
36,UnaryMap,3,8538,8539,True,1
37,BinaryMap,4,1306,2330,True,1024
37,BinaryMap,4,2330,3354,True,1024
37,BinaryMap,4,3376,4400,True,1024
37,BinaryMap,4,4400,5424,True,1024
37,BinaryMap,4,5446,6470,True,1024
37,BinaryMap,4,6470,7494,True,1024
37,BinaryMap,4,7516,8540,True,1024
37,BinaryMap,4,8540,9564,True,1024
38,UnaryMap,5,2332,2348,True,16
38,UnaryMap,5,3356,3372,True,16
38,UnaryMap,5,4402,4418,True,16
38,UnaryMap,5,5426,5442,True,16
38,UnaryMap,5,6472,6488,True,16
38,UnaryMap,5,7496,7512,True,16
38,UnaryMap,5,8542,8558,True,16
38,UnaryMap,5,9566,9582,True,16
39,UnaryMap,6,2349,2365,True,16
39,UnaryMap,6,3373,3389,True,16
39,UnaryMap,6,4419,4435,True,16
39,UnaryMap,6,5443,5459,True,16
39,UnaryMap,6,6489,6505,True,16
39,UnaryMap,6,7513,7529,True,16
39,UnaryMap,6,8559,8575,True,16
39,UnaryMap,6,9583,9599,True,16
40,UnaryMap,7,2366,2382,True,16
40,UnaryMap,7,3390,3406,True,16
40,UnaryMap,7,4436,4452,True,16
40,UnaryMap,7,5460,5476,True,16
40,UnaryMap,7,6506,6522,True,16
40,UnaryMap,7,7530,7546,True,16
40,UnaryMap,7,8576,8592,True,16
40,UnaryMap,7,9600,9616,True,16
41,UnaryMap,8,2383,2384,True,1
41,UnaryMap,8,3407,3408,True,1
41,UnaryMap,8,4453,4454,True,1
41,UnaryMap,8,5477,5478,True,1
41,UnaryMap,8,6523,6524,True,1
41,UnaryMap,8,7547,7548,True,1
41,UnaryMap,8,8593,8594,True,1
41,UnaryMap,8,9617,9618,True,1
42,UnaryMap,9,2385,2386,True,1
42,UnaryMap,9,3409,3410,True,1
42,UnaryMap,9,4455,4456,True,1
42,UnaryMap,9,5479,5480,True,1
42,UnaryMap,9,6525,6526,True,1
42,UnaryMap,9,7549,7550,True,1
42,UnaryMap,9,8595,8596,True,1
42,UnaryMap,9,9619,9620,True,1
43,BinaryMap,10,2387,3411,True,1024
43,BinaryMap,10,3411,4435,True,1024
43,BinaryMap,10,4457,5481,True,1024
43,BinaryMap,10,5481,6505,True,1024
43,BinaryMap,10,6527,7551,True,1024
43,BinaryMap,10,7551,8575,True,1024
43,BinaryMap,10,8597,9621,True,1024
43,BinaryMap,10,9621,10645,True,1024
44,OffChipStore,11,3412,3672,False,260
44,OffChipStore,11,4436,4696,False,260
44,OffChipStore,11,5482,5742,False,260
44,OffChipStore,11,6506,6766,False,260
44,OffChipStore,11,7552,7812,False,260
44,OffChipStore,11,8576,8836,False,260
44,OffChipStore,11,9622,9882,False,260
44,OffChipStore,11,10646,10906,False,260
