name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,78,0,99,False
LinearOffChipLoad,78,99,198,False
LinearOffChipLoad,78,198,297,False
LinearOffChipLoad,78,297,396,False
RepeatStatic,79,99,99,False
RepeatStatic,79,197,198,False
RepeatStatic,79,296,297,False
RepeatStatic,79,395,396,False
RepeatStatic,79,494,495,False
RepeatStatic,79,593,594,False
RepeatStatic,79,692,693,False
RepeatStatic,79,791,792,False
RepeatStatic,79,890,891,False
RepeatStatic,79,989,990,False
RepeatStatic,79,1088,1089,False
RepeatStatic,79,1187,1188,False
RepeatStatic,79,1286,1287,False
RepeatStatic,79,1385,1386,False
RepeatStatic,79,1484,1485,False
RepeatStatic,79,1583,1584,False
LinearOffChipLoad,80,0,91,False
LinearOffChipLoad,80,91,182,False
LinearOffChipLoad,80,182,273,False
LinearOffChipLoad,80,273,364,False
LinearOffChipLoad,80,364,455,False
LinearOffChipLoad,80,455,546,False
LinearOffChipLoad,80,546,637,False
LinearOffChipLoad,80,637,728,False
LinearOffChipLoad,80,728,819,False
LinearOffChipLoad,80,819,910,False
LinearOffChipLoad,80,910,1001,False
LinearOffChipLoad,80,1001,1092,False
LinearOffChipLoad,80,1092,1183,False
LinearOffChipLoad,80,1183,1274,False
LinearOffChipLoad,80,1274,1365,False
LinearOffChipLoad,80,1365,1456,False
BinaryMap,81,99,611,False
BinaryMap,81,611,1123,False
BinaryMap,81,1123,1635,False
BinaryMap,81,1635,2147,False
BinaryMap,81,2147,2659,False
BinaryMap,81,2659,3171,False
BinaryMap,81,3171,3683,False
BinaryMap,81,3683,4195,False
BinaryMap,81,4195,4707,False
BinaryMap,81,4707,5219,False
BinaryMap,81,5219,5731,False
BinaryMap,81,5731,6243,False
BinaryMap,81,6243,6755,False
BinaryMap,81,6755,7267,False
BinaryMap,81,7267,7779,False
BinaryMap,81,7779,8291,False
OffChipStore,82,611,636,False
OffChipStore,82,636,1148,False
OffChipStore,82,1148,1660,False
OffChipStore,82,1660,2172,False
OffChipStore,82,2172,2684,False
OffChipStore,82,2684,3196,False
OffChipStore,82,3196,3708,False
OffChipStore,82,3708,4220,False
OffChipStore,82,4220,4732,False
OffChipStore,82,4732,5244,False
OffChipStore,82,5244,5756,False
OffChipStore,82,5756,6268,False
OffChipStore,82,6268,6780,False
OffChipStore,82,6780,7292,False
OffChipStore,82,7292,7804,False
OffChipStore,82,7804,8316,False
