name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,68,0,31,False
LinearOffChipLoad,68,31,62,False
RepeatStatic,69,31,31,False
RepeatStatic,69,61,62,False
RepeatStatic,69,92,93,False
RepeatStatic,69,123,124,False
LinearOffChipLoad,70,0,45,False
LinearOffChipLoad,70,45,90,False
LinearOffChipLoad,70,90,135,False
LinearOffChipLoad,70,135,180,False
BinaryMap,71,45,237,False
BinaryMap,71,237,429,False
BinaryMap,71,429,621,False
BinaryMap,71,621,813,False
OffChipStore,72,237,250,False
OffChipStore,72,250,442,False
OffChipStore,72,442,634,False
OffChipStore,72,634,826,False
