name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,73,0,27,False
LinearOffChipLoad,73,27,54,False
LinearOffChipLoad,73,54,81,False
LinearOffChipLoad,73,81,108,False
RepeatStatic,74,27,27,False
RepeatStatic,74,53,54,False
RepeatStatic,74,80,81,False
RepeatStatic,74,107,108,False
RepeatStatic,74,134,135,False
RepeatStatic,74,161,162,False
RepeatStatic,74,188,189,False
RepeatStatic,74,215,216,False
RepeatStatic,74,242,243,False
RepeatStatic,74,269,270,False
RepeatStatic,74,296,297,False
RepeatStatic,74,323,324,False
RepeatStatic,74,350,351,False
RepeatStatic,74,377,378,False
RepeatStatic,74,404,405,False
RepeatStatic,74,431,432,False
LinearOffChipLoad,75,0,25,False
LinearOffChipLoad,75,25,50,False
LinearOffChipLoad,75,50,75,False
LinearOffChipLoad,75,75,100,False
LinearOffChipLoad,75,100,125,False
LinearOffChipLoad,75,125,150,False
LinearOffChipLoad,75,150,175,False
LinearOffChipLoad,75,175,200,False
LinearOffChipLoad,75,200,225,False
LinearOffChipLoad,75,225,250,False
LinearOffChipLoad,75,250,275,False
LinearOffChipLoad,75,275,300,False
LinearOffChipLoad,75,300,325,False
LinearOffChipLoad,75,325,350,False
LinearOffChipLoad,75,350,375,False
LinearOffChipLoad,75,375,400,False
BinaryMap,76,27,155,False
BinaryMap,76,155,283,False
BinaryMap,76,283,411,False
BinaryMap,76,411,539,False
BinaryMap,76,539,667,False
BinaryMap,76,667,795,False
BinaryMap,76,795,923,False
BinaryMap,76,923,1051,False
BinaryMap,76,1051,1179,False
BinaryMap,76,1179,1307,False
BinaryMap,76,1307,1435,False
BinaryMap,76,1435,1563,False
BinaryMap,76,1563,1691,False
BinaryMap,76,1691,1819,False
BinaryMap,76,1819,1947,False
BinaryMap,76,1947,2075,False
OffChipStore,77,155,164,False
OffChipStore,77,164,292,False
OffChipStore,77,292,420,False
OffChipStore,77,420,548,False
OffChipStore,77,548,676,False
OffChipStore,77,676,804,False
OffChipStore,77,804,932,False
OffChipStore,77,932,1060,False
OffChipStore,77,1060,1188,False
OffChipStore,77,1188,1316,False
OffChipStore,77,1316,1444,False
OffChipStore,77,1444,1572,False
OffChipStore,77,1572,1700,False
OffChipStore,77,1700,1828,False
OffChipStore,77,1828,1956,False
OffChipStore,77,1956,2084,False
