name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,83,0,75,False
LinearOffChipLoad,83,75,150,False
LinearOffChipLoad,83,150,225,False
LinearOffChipLoad,83,225,300,False
RepeatStatic,84,75,75,False
RepeatStatic,84,149,150,False
RepeatStatic,84,224,225,False
RepeatStatic,84,299,300,False
RepeatStatic,84,374,375,False
RepeatStatic,84,449,450,False
RepeatStatic,84,524,525,False
RepeatStatic,84,599,600,False
LinearOffChipLoad,85,0,167,False
LinearOffChipLoad,85,167,334,False
LinearOffChipLoad,85,334,501,False
LinearOffChipLoad,85,501,668,False
LinearOffChipLoad,85,668,835,False
LinearOffChipLoad,85,835,1002,False
LinearOffChipLoad,85,1002,1169,False
LinearOffChipLoad,85,1169,1336,False
BinaryMap,86,167,807,False
BinaryMap,86,807,1447,False
BinaryMap,86,1447,2087,False
BinaryMap,86,2087,2727,False
BinaryMap,86,2727,3367,False
BinaryMap,86,3367,4007,False
BinaryMap,86,4007,4647,False
BinaryMap,86,4647,5287,False
OffChipStore,87,807,834,False
OffChipStore,87,834,1474,False
OffChipStore,87,1474,2114,False
OffChipStore,87,2114,2754,False
OffChipStore,87,2754,3394,False
OffChipStore,87,3394,4034,False
OffChipStore,87,4034,4674,False
OffChipStore,87,4674,5314,False
