context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,83,0,37,True,37
33,LinearOffChipLoad,83,37,74,True,37
33,LinearOffChipLoad,83,74,111,True,37
33,LinearOffChipLoad,83,111,148,True,37
36,LinearOffChipLoad,85,0,133,False,133
36,LinearOffChipLoad,85,133,265,True,132
36,LinearOffChipLoad,85,265,397,False,132
36,LinearOffChipLoad,85,775,907,True,132
36,LinearOffChipLoad,85,1415,1547,False,132
36,LinearOffChipLoad,85,2055,2187,True,132
36,LinearOffChipLoad,85,2695,2827,False,132
36,LinearOffChipLoad,85,3335,3467,True,132
35,BinaryMap,86,134,774,False,640
35,BinaryMap,86,774,1414,True,640
35,BinaryMap,86,1414,2054,False,640
35,BinaryMap,86,2054,2694,True,640
35,BinaryMap,86,2694,3334,False,640
35,BinaryMap,86,3334,3974,True,640
35,BinaryMap,86,3974,4614,False,640
35,BinaryMap,86,4614,5254,True,640
37,OffChipStore,87,775,796,False,21
37,OffChipStore,87,1415,1436,False,21
37,OffChipStore,87,2055,2076,False,21
37,OffChipStore,87,2695,2716,False,21
37,OffChipStore,87,3335,3356,False,21
37,OffChipStore,87,3975,3995,False,20
37,OffChipStore,87,4615,4635,False,20
37,OffChipStore,87,5255,5275,False,20
