op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
0,LinearOffChipLoad,LinearOffChipLoad_0,0.0,0,0.0,35916.0,11445,-24471.0,35916.0,11445,-24471.0,7.0,7,80.71428571428571,0,1635,1635,0,0,1635
1,LinearOffChipLoad,LinearOffChipLoad_1,0.0,0,0.0,37900.0,25123,-12777.0,37900.0,25123,-12777.0,7.0,7,2053.0,0,3589,3589,0,0,3589
2,BinaryMapAccum,BinaryMapAccum_2 (fn: Matmul(transposed=False)),2054.0,3589,1535.0,61190.0,62725,1535.0,59136.0,59136,0.0,7.0,7,8448.0,8448,8448,8448,0,0,12037
3,LinearOffChipLoad,LinearOffChipLoad_3,0.0,0,0.0,35916.0,11445,-24471.0,35916.0,11445,-24471.0,7.0,7,80.57142857142857,0,1635,1635,0,0,1635
4,LinearOffChipLoad,LinearOffChipLoad_4,0.0,0,0.0,37900.0,25123,-12777.0,37900.0,25123,-12777.0,7.0,7,2053.0,0,3589,3589,0,0,3589
5,BinaryMapAccum,BinaryMapAccum_5 (fn: Matmul(transposed=False)),2054.0,3589,1535.0,61190.0,62725,1535.0,59136.0,59136,0.0,7.0,7,8448.0,8448,8448,8448,0,0,12037
6,UnaryMap,UnaryMap_6 (fn: Silu),10503.0,12037,1534.0,61207.0,62727,1520.0,50704.0,50690,-14.0,7.0,7,16.0,2,8448,8448,0,0,12039
7,BinaryMap,BinaryMap_7 (fn: Mul),10520.0,12039,1519.0,61210.0,62729,1519.0,50690.0,50690,0.0,7.0,7,2.0,2,8448,8448,0,0,12041
8,Bufferize,Bufferize_8(1 D),10523.0,12041,1518.0,61211.0,62729,1518.0,50688.0,50688,0.0,1.0,1,50688.0,0,59136,59136,0,50688,62729
9,Streamify,Streamify_9 (1 D),61212.0,62729,1517.0,77601.0,62736,-14865.0,16389.0,7,-16382.0,1.0,1,16389.0,7,59136,8448,0,0,62736
10,Reshape,Reshape_10 (1 D) (chunk: 1),,62736,,,113424,,,50688,,,7,,0,8448,8448,0,0,62736
11,LinearOffChipLoad,LinearOffChipLoad_11,0.0,0,0.0,96035.0,25123,-70912.0,96035.0,25123,-70912.0,7.0,7,2052.4285714285716,0,3589,3589,0,0,3589
12,BinaryMapAccum,BinaryMapAccum_12 (fn: Matmul(transposed=False)),61214.0,62736,1522.0,118558.0,121616,3058.0,57344.0,58880,1536.0,7.0,1,8192.0,8192,59136,59136,0,50688,121616
13,OffChipStore,OffChipStore_13,118559.0,121616,3057.0,118627.0,121699,3072.0,68.0,83,15.0,1.0,1,68.0,0,59136,59136,59136,0,121699
