context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,0,0,85,True,85
33,LinearOffChipLoad,0,85,183,True,98
33,LinearOffChipLoad,0,183,289,True,106
33,LinearOffChipLoad,0,10503,10572,True,69
33,LinearOffChipLoad,0,18951,19020,True,69
33,LinearOffChipLoad,0,27399,27468,True,69
33,LinearOffChipLoad,0,35847,35916,True,69
35,LinearOffChipLoad,1,0,2053,True,2053
35,LinearOffChipLoad,1,2053,4106,True,2053
35,LinearOffChipLoad,1,4106,6159,True,2053
35,LinearOffChipLoad,1,10503,12556,True,2053
35,LinearOffChipLoad,1,18951,21004,True,2053
35,LinearOffChipLoad,1,27399,29452,True,2053
35,LinearOffChipLoad,1,35847,37900,True,2053
34,BinaryMapAccum,2,2054,10502,False,8448
34,BinaryMapAccum,2,10502,18950,False,8448
34,BinaryMapAccum,2,18950,27398,False,8448
34,BinaryMapAccum,2,27398,35846,False,8448
34,BinaryMapAccum,2,35846,44294,False,8448
34,BinaryMapAccum,2,44294,52742,False,8448
34,BinaryMapAccum,2,52742,61190,True,8448
36,LinearOffChipLoad,3,0,85,True,85
36,LinearOffChipLoad,3,85,182,True,97
36,LinearOffChipLoad,3,182,288,True,106
36,LinearOffChipLoad,3,10503,10572,True,69
36,LinearOffChipLoad,3,18951,19020,True,69
36,LinearOffChipLoad,3,27399,27468,True,69
36,LinearOffChipLoad,3,35847,35916,True,69
38,LinearOffChipLoad,4,0,2053,True,2053
38,LinearOffChipLoad,4,2053,4106,True,2053
38,LinearOffChipLoad,4,4106,6159,True,2053
38,LinearOffChipLoad,4,10503,12556,True,2053
38,LinearOffChipLoad,4,18951,21004,True,2053
38,LinearOffChipLoad,4,27399,29452,True,2053
38,LinearOffChipLoad,4,35847,37900,True,2053
37,BinaryMapAccum,5,2054,10502,False,8448
37,BinaryMapAccum,5,10502,18950,False,8448
37,BinaryMapAccum,5,18950,27398,False,8448
37,BinaryMapAccum,5,27398,35846,False,8448
37,BinaryMapAccum,5,35846,44294,False,8448
37,BinaryMapAccum,5,44294,52742,False,8448
37,BinaryMapAccum,5,52742,61190,True,8448
39,UnaryMap,6,10503,10519,False,16
39,UnaryMap,6,18951,18967,False,16
39,UnaryMap,6,27399,27415,False,16
39,UnaryMap,6,35847,35863,False,16
39,UnaryMap,6,44295,44311,False,16
39,UnaryMap,6,52743,52759,False,16
39,UnaryMap,6,61191,61207,True,16
40,BinaryMap,7,10520,10522,False,2
40,BinaryMap,7,18968,18970,False,2
40,BinaryMap,7,27416,27418,False,2
40,BinaryMap,7,35864,35866,False,2
40,BinaryMap,7,44312,44314,False,2
40,BinaryMap,7,52760,52762,False,2
40,BinaryMap,7,61208,61210,True,2
41,Bufferize,8,10523,61211,False,50688
42,Streamify,9,61212,77601,False,16389
45,LinearOffChipLoad,11,0,2053,False,2053
45,LinearOffChipLoad,11,2053,4106,False,2053
45,LinearOffChipLoad,11,4106,6159,False,2053
45,LinearOffChipLoad,11,69407,71459,False,2052
45,LinearOffChipLoad,11,77599,79651,False,2052
45,LinearOffChipLoad,11,85791,87843,False,2052
45,LinearOffChipLoad,11,93983,96035,True,2052
44,BinaryMapAccum,12,61214,69406,False,8192
44,BinaryMapAccum,12,69406,77598,False,8192
44,BinaryMapAccum,12,77598,85790,False,8192
44,BinaryMapAccum,12,85790,93982,False,8192
44,BinaryMapAccum,12,93982,102174,False,8192
44,BinaryMapAccum,12,102174,110366,False,8192
44,BinaryMapAccum,12,110366,118558,True,8192
46,OffChipStore,13,118559,118627,False,68
