op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
256,LinearOffChipLoad,LinearOffChipLoad_256,0.0,0,0.0,45.0,123,78.0,45.0,123,78.0,1.0,1,45.0,0,123,123,0,0,123
257,LinearOffChipLoad,LinearOffChipLoad_257,0.0,0,0.0,101.0,177,76.0,101.0,177,76.0,1.0,1,101.0,0,177,177,0,0,177
258,BinaryMapAccum,BinaryMapAccum_258 (fn: Matmul(transposed=False)),102.0,177,75.0,614.0,689,75.0,512.0,512,0.0,1.0,1,512.0,512,512,512,0,0,689
259,LinearOffChipLoad,LinearOffChipLoad_259,0.0,0,0.0,45.0,123,78.0,45.0,123,78.0,1.0,1,45.0,0,123,123,0,0,123
260,LinearOffChipLoad,LinearOffChipLoad_260,0.0,0,0.0,101.0,177,76.0,101.0,177,76.0,1.0,1,101.0,0,177,177,0,0,177
261,BinaryMapAccum,BinaryMapAccum_261 (fn: Matmul(transposed=False)),102.0,177,75.0,614.0,689,75.0,512.0,512,0.0,1.0,1,512.0,512,512,512,0,0,689
262,UnaryMap,UnaryMap_262 (fn: Silu),615.0,689,74.0,621.0,690,69.0,6.0,1,-5.0,1.0,1,6.0,1,1,1,0,0,690
263,BinaryMap,BinaryMap_263 (fn: Mul),622.0,690,68.0,623.0,691,68.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,691
264,Bufferize,Bufferize_264(1 D),624.0,691,67.0,624.0,691,67.0,0.0,0,0.0,1.0,1,0.0,0,0,0,0,0,691
265,Streamify,Streamify_265 (1 D),625.0,691,66.0,626.0,691,65.0,1.0,0,-1.0,1.0,1,1.0,0,0,0,0,0,691
266,Reshape,Reshape_266 (1 D) (chunk: 1),,691,,,739,,,48,,,1,,48,48,48,0,0,739
267,LinearOffChipLoad,LinearOffChipLoad_267,0.0,0,0.0,101.0,177,76.0,101.0,177,76.0,1.0,1,101.0,0,177,177,0,0,177
268,BinaryMapAccum,BinaryMapAccum_268 (fn: Matmul(transposed=False)),627.0,739,112.0,1011.0,1123,112.0,384.0,384,0.0,1.0,1,384.0,384,384,384,0,0,1123
269,OffChipStore,OffChipStore_269,1012.0,1123,111.0,1048.0,1166,118.0,36.0,43,7.0,1.0,1,36.0,0,384,384,384,0,1166
