name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,242,0,51,False
LinearOffChipLoad,242,51,102,False
LinearOffChipLoad,243,0,89,False
LinearOffChipLoad,243,89,178,False
BinaryMapAccum,244,89,313,False
BinaryMapAccum,244,313,537,False
LinearOffChipLoad,245,0,51,False
LinearOffChipLoad,245,51,102,False
LinearOffChipLoad,246,0,89,False
LinearOffChipLoad,246,89,178,False
BinaryMapAccum,247,89,313,False
BinaryMapAccum,247,313,537,False
UnaryMap,248,313,314,False
UnaryMap,248,537,538,False
BinaryMap,249,314,315,False
BinaryMap,249,538,539,False
Bufferize,250,539,539,False
Streamify,251,539,539,False
Reshape,252,539,563,False
Reshape,252,563,587,False
LinearOffChipLoad,253,0,89,False
LinearOffChipLoad,253,89,178,False
BinaryMapAccum,254,652,844,False
OffChipStore,255,844,857,False
