op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
242,LinearOffChipLoad,LinearOffChipLoad_242,0.0,0,0.0,40.0,102,62.0,40.0,102,62.0,2.0,2,20.0,0,51,51,0,0,51
243,LinearOffChipLoad,LinearOffChipLoad_243,0.0,0,0.0,113.0,178,65.0,113.0,178,65.0,2.0,2,56.5,0,89,89,0,0,89
244,BinaryMapAccum,BinaryMapAccum_244 (fn: Matmul(transposed=False)),61.0,89,28.0,509.0,537,28.0,448.0,448,0.0,2.0,2,224.0,224,224,224,0,0,313
245,LinearOffChipLoad,LinearOffChipLoad_245,0.0,0,0.0,37.0,102,65.0,37.0,102,65.0,2.0,2,18.5,0,51,51,0,0,51
246,LinearOffChipLoad,LinearOffChipLoad_246,0.0,0,0.0,112.0,178,66.0,112.0,178,66.0,2.0,2,56.0,0,89,89,0,0,89
247,BinaryMapAccum,BinaryMapAccum_247 (fn: Matmul(transposed=False)),60.0,89,29.0,508.0,537,29.0,448.0,448,0.0,2.0,2,224.0,224,224,224,0,0,313
248,UnaryMap,UnaryMap_248 (fn: Silu),286.0,313,27.0,513.0,538,25.0,227.0,225,-2.0,2.0,2,3.0,1,224,224,0,0,314
249,BinaryMap,BinaryMap_249 (fn: Mul),290.0,314,24.0,515.0,539,24.0,225.0,225,0.0,2.0,2,1.0,1,224,224,0,0,315
250,Bufferize,Bufferize_250(1 D),292.0,315,23.0,516.0,539,23.0,224.0,224,0.0,1.0,1,224.0,0,448,448,0,224,539
251,Streamify,Streamify_251 (1 D),517.0,539,22.0,519.0,539,20.0,2.0,0,-2.0,1.0,1,2.0,0,0,0,0,0,539
252,Reshape,Reshape_252 (1 D) (chunk: 1),,539,,,587,,,48,,,2,,24,24,24,0,0,563
253,LinearOffChipLoad,LinearOffChipLoad_253,0.0,0,0.0,111.0,178,67.0,111.0,178,67.0,2.0,2,55.5,0,89,89,0,0,89
254,BinaryMapAccum,BinaryMapAccum_254 (fn: Matmul(transposed=False)),519.0,563,44.0,903.0,844,-59.0,384.0,281,-103.0,2.0,1,192.0,192,384,384,0,89,844
255,OffChipStore,OffChipStore_255,904.0,844,-60.0,916.0,857,-59.0,12.0,13,1.0,1.0,1,12.0,0,384,384,384,0,857
