context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,242,0,17,True,17
33,LinearOffChipLoad,242,17,40,True,23
35,LinearOffChipLoad,243,0,60,True,60
35,LinearOffChipLoad,243,60,113,True,53
34,BinaryMapAccum,244,61,285,False,224
34,BinaryMapAccum,244,285,509,True,224
36,LinearOffChipLoad,245,0,17,True,17
36,LinearOffChipLoad,245,17,37,True,20
38,LinearOffChipLoad,246,0,59,True,59
38,LinearOffChipLoad,246,59,112,True,53
37,BinaryMapAccum,247,60,284,False,224
37,BinaryMapAccum,247,284,508,True,224
39,UnaryMap,248,286,289,False,3
39,UnaryMap,248,510,513,True,3
40,BinaryMap,249,290,291,False,1
40,BinaryMap,249,514,515,True,1
41,Bufferize,250,292,516,False,224
42,Streamify,251,517,519,False,2
45,LinearOffChipLoad,253,0,58,False,58
45,LinearOffChipLoad,253,58,111,True,53
44,BinaryMapAccum,254,519,711,False,192
44,BinaryMapAccum,254,711,903,True,192
46,OffChipStore,255,904,916,False,12
