op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
0,LinearOffChipLoad,LinearOffChipLoad_0,0.0,0,0.0,4006.0,1344,-2662.0,4006.0,1344,-2662.0,64.0,64,20.0,0,21,21,0,0,21
1,SelectGen,SelectGen_1,,0,,,0,,,0,,,64,,0,0,0,0,0,0
2,SelectGen,SelectGen_2,,0,,,0,,,0,,,128,,0,0,0,0,0,0
3,LinearOffChipLoad,LinearOffChipLoad_3,0.0,0,0.0,234541.0,768,-233773.0,234541.0,768,-233773.0,128.0,128,5.0,0,6,6,0,0,6
4,FlatPartition,FlatPartition_4 (0 D),21.0,21,0.0,4181.0,4117,-64.0,4160.0,4096,-64.0,64.0,64,65.0,64,64,512,0,0,85
5,Reshape,Reshape_5 (0 D) (chunk: 32),,85,,,15957,,,15872,,,32,,0,512,16,0,0,85
6,Flatten,"Flatten_6 (1 D, 2 D)",,85,,,581,,,496,,,32,,0,16,16,0,0,85
7,Accum,Accum_7 (1 D) (fn: RetileRow),4202.0,85,-4117.0,4202.0,582,-3620.0,0.0,497,497.0,1.0,1,0.0,1,512,512,0,496,582
8,Reshape,Reshape_8 (0 D) (chunk: 32),,85,,,15957,,,15872,,,32,,0,512,16,0,0,85
9,Flatten,"Flatten_9 (1 D, 2 D)",,85,,,581,,,496,,,32,,0,16,16,0,0,85
10,Accum,Accum_10 (1 D) (fn: RetileRow),4131.0,85,-4046.0,4131.0,582,-3549.0,0.0,497,497.0,1.0,1,0.0,1,512,512,0,496,582
11,Reshape,Reshape_11 (0 D) (chunk: 32),,85,,,15957,,,15872,,,32,,0,512,16,0,0,85
12,Flatten,"Flatten_12 (1 D, 2 D)",,85,,,581,,,496,,,32,,0,16,16,0,0,85
13,Accum,Accum_13 (1 D) (fn: RetileRow),4135.0,85,-4050.0,4135.0,582,-3553.0,0.0,497,497.0,1.0,1,0.0,1,512,512,0,496,582
14,Reshape,Reshape_14 (0 D) (chunk: 32),,85,,,15957,,,15872,,,32,,0,512,16,0,0,85
15,Flatten,"Flatten_15 (1 D, 2 D)",,85,,,581,,,496,,,32,,0,16,16,0,0,85
16,Accum,Accum_16 (1 D) (fn: RetileRow),4133.0,85,-4048.0,4133.0,582,-3551.0,0.0,497,497.0,1.0,1,0.0,1,512,512,0,496,582
17,Reshape,Reshape_17 (0 D) (chunk: 32),,85,,,15957,,,15872,,,32,,0,512,16,0,0,85
18,Flatten,"Flatten_18 (1 D, 2 D)",,85,,,581,,,496,,,32,,0,16,16,0,0,85
19,Accum,Accum_19 (1 D) (fn: RetileRow),4198.0,85,-4113.0,4198.0,582,-3616.0,0.0,497,497.0,1.0,1,0.0,1,512,512,0,496,582
20,Reshape,Reshape_20 (0 D) (chunk: 32),,85,,,15957,,,15872,,,32,,0,512,16,0,0,85
21,Flatten,"Flatten_21 (1 D, 2 D)",,85,,,581,,,496,,,32,,0,16,16,0,0,85
22,Accum,Accum_22 (1 D) (fn: RetileRow),4133.0,85,-4048.0,4133.0,582,-3551.0,0.0,497,497.0,1.0,1,0.0,1,512,512,0,496,582
23,Reshape,Reshape_23 (0 D) (chunk: 32),,85,,,15957,,,15872,,,32,,0,512,16,0,0,85
24,Flatten,"Flatten_24 (1 D, 2 D)",,85,,,581,,,496,,,32,,0,16,16,0,0,85
25,Accum,Accum_25 (1 D) (fn: RetileRow),4137.0,85,-4052.0,4137.0,582,-3555.0,0.0,497,497.0,1.0,1,0.0,1,512,512,0,496,582
