op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
0,LinearOffChipLoad,LinearOffChipLoad_0,0.0,0,0.0,15214.0,1152,-14062.0,15214.0,1152,-14062.0,128.0,128,112.78125,0,9,9,0,0,9
1,SelectGen,SelectGen_1,,0,,,0,,,0,,,128,,0,0,0,0,0,0
2,SelectGen,SelectGen_2,,0,,,0,,,0,,,256,,0,0,0,0,0,0
3,LinearOffChipLoad,LinearOffChipLoad_3,0.0,0,0.0,38154.0,1536,-36618.0,38154.0,1536,-36618.0,256.0,256,48.90625,0,6,6,0,0,6
4,FlatPartition,FlatPartition_4 (0 D),9.0,9,0.0,15256.0,16281,1025.0,15247.0,16272,1025.0,128.0,128,17.0,16,16,128,0,0,25
5,Reshape,Reshape_5 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
6,Flatten,"Flatten_6 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
7,Accum,Accum_7 (1 D) (fn: RetileRow),3234.0,25,-3209.0,15261.0,146,-15115.0,12027.0,121,-11906.0,2.0,1,0.0,1,16,16,0,120,146
8,Reshape,Reshape_8 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
9,Flatten,"Flatten_9 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
10,Accum,Accum_10 (1 D) (fn: RetileRow),709.0,25,-684.0,15229.0,146,-15083.0,14520.0,121,-14399.0,3.0,1,0.0,1,16,16,0,120,146
11,Reshape,Reshape_11 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
12,Flatten,"Flatten_12 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
13,Accum,Accum_13 (1 D) (fn: RetileRow),1118.0,25,-1093.0,15256.0,146,-15110.0,14138.0,121,-14017.0,3.0,1,0.0,1,16,16,0,120,146
14,Reshape,Reshape_14 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
15,Flatten,"Flatten_15 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
16,Accum,Accum_16 (1 D) (fn: RetileRow),1032.0,25,-1007.0,15269.0,146,-15123.0,14237.0,121,-14116.0,3.0,1,0.0,1,16,16,0,120,146
17,Reshape,Reshape_17 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
18,Flatten,"Flatten_18 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
19,Accum,Accum_19 (1 D) (fn: RetileRow),1463.0,25,-1438.0,15227.0,146,-15081.0,13764.0,121,-13643.0,2.0,1,0.0,1,16,16,0,120,146
20,Reshape,Reshape_20 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
21,Flatten,"Flatten_21 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
22,Accum,Accum_22 (1 D) (fn: RetileRow),10362.0,25,-10337.0,15227.0,146,-15081.0,4865.0,121,-4744.0,2.0,1,0.0,1,16,16,0,120,146
23,Reshape,Reshape_23 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
24,Flatten,"Flatten_24 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
25,Accum,Accum_25 (1 D) (fn: RetileRow),2492.0,25,-2467.0,15227.0,146,-15081.0,12735.0,121,-12614.0,2.0,1,0.0,1,16,16,0,120,146
26,Reshape,Reshape_26 (0 D) (chunk: 16),,25,,,145,,,120,,,16,,0,128,8,0,0,25
27,Flatten,"Flatten_27 (1 D, 2 D)",,25,,,145,,,120,,,16,,0,8,8,0,0,25
28,Accum,Accum_28 (1 D) (fn: RetileRow),10133.0,25,-10108.0,15229.0,146,-15083.0,5096.0,121,-4975.0,2.0,1,0.0,1,16,16,0,120,146
29,RepeatStatic,RepeatStatic_29,,146,,,146,,,0,,,4,,0,0,0,0,0,146
30,RepeatStatic,RepeatStatic_30,,146,,,146,,,0,,,4,,0,0,0,0,0,146
31,RepeatStatic,RepeatStatic_31,,146,,,146,,,0,,,4,,0,0,0,0,0,146
32,RepeatStatic,RepeatStatic_32,,146,,,146,,,0,,,4,,0,0,0,0,0,146
33,RepeatStatic,RepeatStatic_33,,146,,,146,,,0,,,4,,0,0,0,0,0,146
34,RepeatStatic,RepeatStatic_34,,146,,,146,,,0,,,4,,0,0,0,0,0,146
35,RepeatStatic,RepeatStatic_35,,146,,,146,,,0,,,4,,0,0,0,0,0,146
36,RepeatStatic,RepeatStatic_36,,146,,,146,,,0,,,4,,0,0,0,0,0,146
37,LinearOffChipLoadRef,LinearOffChipLoadRef_37 (rank=0),3236.0,146,-3090.0,27646.0,12446,-15200.0,24410.0,12300,-12110.0,8.0,4,2401.0,0,12300,3075,0,0,3221
38,LinearOffChipLoadRef,LinearOffChipLoadRef_38 (rank=0),711.0,146,-565.0,27528.0,12446,-15082.0,26817.0,12300,-14517.0,12.0,4,1923.6666666666667,0,12300,3075,0,0,3221
39,LinearOffChipLoadRef,LinearOffChipLoadRef_39 (rank=0),1120.0,146,-974.0,30494.0,12446,-18048.0,29374.0,12300,-17074.0,12.0,4,1856.1666666666667,0,12300,3075,0,0,3221
40,LinearOffChipLoadRef,LinearOffChipLoadRef_40 (rank=0),1034.0,146,-888.0,30430.0,12446,-17984.0,29396.0,12300,-17096.0,12.0,4,1852.75,0,12300,3075,0,0,3221
41,LinearOffChipLoadRef,LinearOffChipLoadRef_41 (rank=0),1465.0,146,-1319.0,27106.0,12446,-14660.0,25641.0,12300,-13341.0,8.0,4,2414.125,0,12300,3075,0,0,3221
42,LinearOffChipLoadRef,LinearOffChipLoadRef_42 (rank=0),10364.0,146,-10218.0,27047.0,12446,-14601.0,16683.0,12300,-4383.0,8.0,4,2029.875,0,12300,3075,0,0,3221
43,LinearOffChipLoadRef,LinearOffChipLoadRef_43 (rank=0),2494.0,146,-2348.0,26880.0,12446,-14434.0,24386.0,12300,-12086.0,8.0,4,2354.0,0,12300,3075,0,0,3221
44,LinearOffChipLoadRef,LinearOffChipLoadRef_44 (rank=0),10135.0,146,-9989.0,27524.0,12446,-15078.0,17389.0,12300,-5089.0,8.0,4,2097.625,0,12300,3075,0,0,3221
45,Flatten,"Flatten_45 (0 D, 1 D)",,3221,,,12446,,,9225,,,4,,0,3075,3075,0,0,3221
46,Flatten,"Flatten_46 (0 D, 1 D)",,3221,,,12446,,,9225,,,4,,0,3075,3075,0,0,3221
47,Flatten,"Flatten_47 (0 D, 1 D)",,3221,,,12446,,,9225,,,4,,0,3075,3075,0,0,3221
48,Flatten,"Flatten_48 (0 D, 1 D)",,3221,,,12446,,,9225,,,4,,0,3075,3075,0,0,3221
49,Flatten,"Flatten_49 (0 D, 1 D)",,3221,,,12446,,,9225,,,4,,0,3075,3075,0,0,3221
50,Flatten,"Flatten_50 (0 D, 1 D)",,3221,,,12446,,,9225,,,4,,0,3075,3075,0,0,3221
51,Flatten,"Flatten_51 (0 D, 1 D)",,3221,,,12446,,,9225,,,4,,0,3075,3075,0,0,3221
52,Flatten,"Flatten_52 (0 D, 1 D)",,3221,,,12446,,,9225,,,4,,0,3075,3075,0,0,3221
