name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,0,0,6,False
LinearOffChipLoad,0,6,12,False
LinearOffChipLoad,0,12,18,False
LinearOffChipLoad,0,18,24,False
LinearOffChipLoad,0,24,30,False
LinearOffChipLoad,0,30,36,False
LinearOffChipLoad,0,36,42,False
LinearOffChipLoad,0,42,48,False
SelectGen,1,0,0,False
SelectGen,1,0,0,False
SelectGen,1,0,0,False
SelectGen,1,0,0,False
SelectGen,1,0,0,False
SelectGen,1,0,0,False
SelectGen,1,0,0,False
SelectGen,1,0,0,False
SelectGen,2,0,0,False
SelectGen,2,0,0,False
SelectGen,2,0,0,False
SelectGen,2,0,0,False
SelectGen,2,0,0,False
SelectGen,2,0,0,False
SelectGen,2,0,0,False
SelectGen,2,0,0,False
LinearOffChipLoad,3,0,6,False
LinearOffChipLoad,3,6,12,False
LinearOffChipLoad,3,12,18,False
LinearOffChipLoad,3,18,24,False
LinearOffChipLoad,3,24,30,False
LinearOffChipLoad,3,30,36,False
LinearOffChipLoad,3,36,42,False
LinearOffChipLoad,3,42,48,False
FlatPartition,4,6,8,False
FlatPartition,4,12,14,False
FlatPartition,4,18,20,False
FlatPartition,4,24,26,False
FlatPartition,4,30,32,False
FlatPartition,4,36,38,False
FlatPartition,4,42,44,False
FlatPartition,4,48,50,False
Reshape,5,8,8,False
Reshape,5,31,32,False
Reshape,5,55,56,False
Reshape,5,79,80,False
Flatten,6,8,8,False
Flatten,6,13,14,False
Flatten,6,19,20,False
Flatten,6,25,26,False
Accum,7,26,27,False
Reshape,8,8,8,False
Reshape,8,31,32,False
Reshape,8,55,56,False
Reshape,8,79,80,False
Flatten,9,8,8,False
Flatten,9,13,14,False
Flatten,9,19,20,False
Flatten,9,25,26,False
Accum,10,26,27,False
Reshape,11,8,8,False
Reshape,11,31,32,False
Reshape,11,55,56,False
Reshape,11,79,80,False
Flatten,12,8,8,False
Flatten,12,13,14,False
Flatten,12,19,20,False
Flatten,12,25,26,False
Accum,13,26,27,False
Reshape,14,8,8,False
Reshape,14,31,32,False
Reshape,14,55,56,False
Reshape,14,79,80,False
Flatten,15,8,8,False
Flatten,15,13,14,False
Flatten,15,19,20,False
Flatten,15,25,26,False
Accum,16,26,27,False
RepeatStatic,17,27,27,False
RepeatStatic,18,27,27,False
RepeatStatic,19,27,27,False
RepeatStatic,20,27,27,False
LinearOffChipLoadRef,21,27,102,False
LinearOffChipLoadRef,22,27,102,False
LinearOffChipLoadRef,23,27,102,False
LinearOffChipLoadRef,24,27,102,False
Flatten,25,102,102,False
Flatten,26,102,102,False
Flatten,27,102,102,False
Flatten,28,102,102,False
BinaryMap,29,102,198,False
BinaryMap,30,102,198,False
BinaryMap,31,102,198,False
BinaryMap,32,102,198,False
LinearOffChipLoadRef,33,27,102,False
LinearOffChipLoadRef,34,27,102,False
LinearOffChipLoadRef,35,27,102,False
LinearOffChipLoadRef,36,27,102,False
Flatten,37,102,102,False
Flatten,38,102,102,False
Flatten,39,102,102,False
Flatten,40,102,102,False
BinaryMap,41,102,198,False
BinaryMap,42,102,198,False
BinaryMap,43,102,198,False
BinaryMap,44,102,198,False
UnaryMap,45,198,199,False
UnaryMap,46,198,199,False
UnaryMap,47,198,199,False
UnaryMap,48,198,199,False
BinaryMap,49,199,200,False
BinaryMap,50,199,200,False
BinaryMap,51,199,200,False
BinaryMap,52,199,200,False
LinearOffChipLoadRef,53,27,102,False
LinearOffChipLoadRef,54,27,102,False
LinearOffChipLoadRef,55,27,102,False
LinearOffChipLoadRef,56,27,102,False
Flatten,57,102,102,False
Flatten,58,102,102,False
Flatten,59,102,102,False
Flatten,60,102,102,False
BinaryMapAccum,61,200,296,False
BinaryMapAccum,62,200,296,False
BinaryMapAccum,63,200,296,False
BinaryMapAccum,64,200,296,False
RetileStreamify,65,296,296,False
RetileStreamify,65,391,392,False
RetileStreamify,66,296,296,False
RetileStreamify,66,391,392,False
RetileStreamify,67,296,296,False
RetileStreamify,67,391,392,False
RetileStreamify,68,296,296,False
RetileStreamify,68,391,392,False
FlatPartition,69,6,7,False
FlatPartition,69,12,13,False
FlatPartition,69,18,19,False
FlatPartition,69,24,25,False
FlatPartition,69,30,31,False
FlatPartition,69,36,37,False
FlatPartition,69,42,43,False
FlatPartition,69,48,49,False
BinaryMap,70,296,297,False
BinaryMap,70,320,321,False
BinaryMap,71,296,297,False
BinaryMap,71,320,321,False
BinaryMap,72,296,297,False
BinaryMap,72,320,321,False
BinaryMap,73,296,297,False
BinaryMap,73,320,321,False
SelectGen,74,0,0,False
SelectGen,74,0,0,False
SelectGen,74,0,0,False
SelectGen,74,0,0,False
SelectGen,74,0,0,False
SelectGen,74,0,0,False
SelectGen,74,0,0,False
SelectGen,74,0,0,False
FlatReassemble,75,297,297,False
FlatReassemble,75,302,303,False
FlatReassemble,75,308,309,False
FlatReassemble,75,314,315,False
FlatReassemble,75,320,321,False
FlatReassemble,75,326,327,False
FlatReassemble,75,332,333,False
FlatReassemble,75,338,339,False
Accum,76,297,298,False
Accum,76,303,304,False
Accum,76,309,310,False
Accum,76,315,316,False
Accum,76,321,322,False
Accum,76,327,328,False
Accum,76,333,334,False
Accum,76,339,340,False
OffChipStore,77,298,304,False
OffChipStore,77,304,310,False
OffChipStore,77,310,316,False
OffChipStore,77,316,322,False
OffChipStore,77,322,328,False
OffChipStore,77,328,334,False
OffChipStore,77,334,340,False
OffChipStore,77,340,346,False
Broadcast,78,27,27,False
Broadcast,79,27,27,False
Broadcast,80,27,27,False
Broadcast,81,27,27,False
Broadcast,82,27,27,False
Broadcast,83,27,27,False
Broadcast,84,27,27,False
Broadcast,85,27,27,False
