context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,0,0,5,False,5
33,LinearOffChipLoad,0,5,10,False,5
33,LinearOffChipLoad,0,10,15,False,5
33,LinearOffChipLoad,0,15,20,False,5
33,LinearOffChipLoad,0,20,25,False,5
33,LinearOffChipLoad,0,25,30,False,5
33,LinearOffChipLoad,0,30,35,False,5
33,LinearOffChipLoad,0,35,40,True,5
100,LinearOffChipLoad,3,0,5,True,5
100,LinearOffChipLoad,3,5,10,True,5
100,LinearOffChipLoad,3,10,15,True,5
100,LinearOffChipLoad,3,15,20,True,5
100,LinearOffChipLoad,3,20,25,True,5
100,LinearOffChipLoad,3,25,30,True,5
100,LinearOffChipLoad,3,30,35,True,5
100,LinearOffChipLoad,3,314,319,True,5
34,FlatPartition,4,6,9,True,3
34,FlatPartition,4,11,14,True,3
34,FlatPartition,4,16,19,True,3
34,FlatPartition,4,21,24,True,3
34,FlatPartition,4,26,29,True,3
34,FlatPartition,4,31,34,True,3
34,FlatPartition,4,36,39,True,3
34,FlatPartition,4,41,44,True,3
38,Accum,7,44,44,True,0
44,Accum,13,43,43,True,0
47,Accum,16,47,47,True,0
52,LinearOffChipLoadRef,21,46,103,True,57
54,LinearOffChipLoadRef,23,45,102,True,57
55,LinearOffChipLoadRef,24,49,110,True,61
60,BinaryMap,29,105,201,True,96
62,BinaryMap,31,104,200,True,96
63,BinaryMap,32,112,208,True,96
64,LinearOffChipLoadRef,33,46,104,True,58
66,LinearOffChipLoadRef,35,45,100,True,55
67,LinearOffChipLoadRef,36,49,108,True,59
72,BinaryMap,41,106,202,True,96
74,BinaryMap,43,102,198,True,96
75,BinaryMap,44,110,206,True,96
76,UnaryMap,45,203,205,True,2
78,UnaryMap,47,199,201,True,2
79,UnaryMap,48,207,209,True,2
80,BinaryMap,49,206,207,True,1
82,BinaryMap,51,202,203,True,1
83,BinaryMap,52,210,211,True,1
84,LinearOffChipLoadRef,53,46,106,True,60
86,LinearOffChipLoadRef,55,45,99,True,54
87,LinearOffChipLoadRef,56,49,105,True,56
92,BinaryMapAccum,61,208,304,False,96
94,BinaryMapAccum,63,204,300,False,96
95,BinaryMapAccum,64,212,308,False,96
101,FlatPartition,69,6,8,True,2
101,FlatPartition,69,11,13,True,2
101,FlatPartition,69,16,18,True,2
101,FlatPartition,69,21,312,True,291
101,FlatPartition,69,312,314,True,2
101,FlatPartition,69,314,316,True,2
101,FlatPartition,69,316,318,True,2
101,FlatPartition,69,320,322,True,2
103,BinaryMap,70,315,316,False,1
103,BinaryMap,70,319,320,False,1
105,BinaryMap,72,302,303,False,1
105,BinaryMap,72,317,318,False,1
106,BinaryMap,73,310,311,False,1
106,BinaryMap,73,311,312,False,1
106,BinaryMap,73,313,314,False,1
106,BinaryMap,73,323,324,False,1
107,FlatReassemble,75,304,313,True,9
107,FlatReassemble,75,312,313,True,1
107,FlatReassemble,75,313,316,True,3
107,FlatReassemble,75,315,317,True,2
107,FlatReassemble,75,317,319,True,2
107,FlatReassemble,75,319,324,True,5
107,FlatReassemble,75,321,329,True,8
107,FlatReassemble,75,325,334,True,9
109,Accum,76,314,315,True,1
109,Accum,76,315,316,True,1
109,Accum,76,317,318,True,1
109,Accum,76,322,323,True,1
109,Accum,76,327,328,True,1
109,Accum,76,332,333,True,1
109,Accum,76,337,338,True,1
109,Accum,76,342,343,True,1
110,OffChipStore,77,316,321,False,5
110,OffChipStore,77,321,326,False,5
110,OffChipStore,77,326,331,False,5
110,OffChipStore,77,331,336,False,5
110,OffChipStore,77,336,341,False,5
110,OffChipStore,77,341,346,False,5
110,OffChipStore,77,346,351,False,5
110,OffChipStore,77,351,356,False,5
