op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
0,LinearOffChipLoad,LinearOffChipLoad_0,0.0,0,0.0,440.0,512,72.0,440.0,512,72.0,64.0,64,6.875,0,8,8,0,0,8
1,SelectGen,SelectGen_1,,0,,,0,,,0,,,64,,0,0,0,0,0,0
2,SelectGen,SelectGen_2,,0,,,0,,,0,,,64,,0,0,0,0,0,0
3,LinearOffChipLoad,LinearOffChipLoad_3,0.0,0,0.0,740.0,512,-228.0,740.0,512,-228.0,64.0,64,6.546875,0,8,8,0,0,8
4,FlatPartition,FlatPartition_4 (0 D),6.0,8,2.0,444.0,514,70.0,438.0,506,68.0,64.0,64,3.0,2,8,32,0,0,10
5,Reshape,Reshape_5 (0 D) (chunk: 4),,10,,,490,,,480,,,16,,0,32,8,0,0,10
6,Flatten,"Flatten_6 (1 D, 2 D)",,10,,,130,,,120,,,16,,0,8,8,0,0,10
7,Accum,Accum_7 (1 D) (fn: RetileRow),77.0,10,-67.0,443.0,131,-312.0,366.0,121,-245.0,5.0,4,0.0,1,32,32,0,24,35
8,Reshape,Reshape_8 (0 D) (chunk: 4),,10,,,490,,,480,,,16,,0,32,8,0,0,10
9,Flatten,"Flatten_9 (1 D, 2 D)",,10,,,130,,,120,,,16,,0,8,8,0,0,10
10,Accum,Accum_10 (1 D) (fn: RetileRow),193.0,10,-183.0,443.0,131,-312.0,250.0,121,-129.0,3.0,4,0.0,1,32,32,0,24,35
11,Reshape,Reshape_11 (0 D) (chunk: 4),,10,,,490,,,480,,,16,,0,32,8,0,0,10
12,Flatten,"Flatten_12 (1 D, 2 D)",,10,,,130,,,120,,,16,,0,8,8,0,0,10
13,Accum,Accum_13 (1 D) (fn: RetileRow),131.0,10,-121.0,443.0,131,-312.0,312.0,121,-191.0,5.0,4,0.0,1,32,32,0,24,35
14,Reshape,Reshape_14 (0 D) (chunk: 4),,10,,,490,,,480,,,16,,0,32,8,0,0,10
15,Flatten,"Flatten_15 (1 D, 2 D)",,10,,,130,,,120,,,16,,0,8,8,0,0,10
16,Accum,Accum_16 (1 D) (fn: RetileRow),87.0,10,-77.0,447.0,131,-316.0,360.0,121,-239.0,4.0,4,0.0,1,32,32,0,24,35
17,RepeatStatic,RepeatStatic_17,,35,,,131,,,96,,,4,,0,32,32,0,0,35
18,RepeatStatic,RepeatStatic_18,,35,,,131,,,96,,,4,,0,32,32,32,0,35
19,RepeatStatic,RepeatStatic_19,,35,,,131,,,96,,,4,,0,32,32,32,0,35
20,RepeatStatic,RepeatStatic_20,,35,,,131,,,96,,,4,,0,32,32,32,0,35
21,LinearOffChipLoadRef,LinearOffChipLoadRef_21 (rank=0),79.0,35,-44.0,518.0,439,-79.0,439.0,404,-35.0,5.0,4,44.8,0,101,101,32,0,136
22,LinearOffChipLoadRef,LinearOffChipLoadRef_22 (rank=0),195.0,35,-160.0,520.0,439,-81.0,325.0,404,79.0,3.0,4,48.666666666666664,0,101,101,32,0,136
23,LinearOffChipLoadRef,LinearOffChipLoadRef_23 (rank=0),133.0,35,-98.0,528.0,439,-89.0,395.0,404,9.0,5.0,4,44.2,0,101,101,32,0,136
24,LinearOffChipLoadRef,LinearOffChipLoadRef_24 (rank=0),89.0,35,-54.0,524.0,439,-85.0,435.0,404,-31.0,4.0,4,44.5,0,101,101,32,0,136
25,Flatten,"Flatten_25 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
26,Flatten,"Flatten_26 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
27,Flatten,"Flatten_27 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
28,Flatten,"Flatten_28 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
29,BinaryMap,BinaryMap_29 (fn: Matmul),119.0,136,17.0,616.0,535,-81.0,497.0,399,-98.0,5.0,4,96.0,96,101,101,32,0,232
30,BinaryMap,BinaryMap_30 (fn: Matmul),226.0,136,-90.0,618.0,535,-83.0,392.0,399,7.0,3.0,4,96.0,96,101,101,32,0,232
31,BinaryMap,BinaryMap_31 (fn: Matmul),174.0,136,-38.0,654.0,535,-119.0,480.0,399,-81.0,5.0,4,96.0,96,101,101,32,0,232
32,BinaryMap,BinaryMap_32 (fn: Matmul),127.0,136,9.0,624.0,535,-89.0,497.0,399,-98.0,4.0,4,96.0,96,101,101,32,0,232
33,LinearOffChipLoadRef,LinearOffChipLoadRef_33 (rank=0),79.0,35,-44.0,516.0,439,-77.0,437.0,404,-33.0,5.0,4,45.2,0,101,101,32,0,136
34,LinearOffChipLoadRef,LinearOffChipLoadRef_34 (rank=0),195.0,35,-160.0,515.0,439,-76.0,320.0,404,84.0,3.0,4,46.666666666666664,0,101,101,32,0,136
35,LinearOffChipLoadRef,LinearOffChipLoadRef_35 (rank=0),133.0,35,-98.0,524.0,439,-85.0,391.0,404,13.0,5.0,4,43.4,0,101,101,32,0,136
36,LinearOffChipLoadRef,LinearOffChipLoadRef_36 (rank=0),89.0,35,-54.0,524.0,439,-85.0,435.0,404,-31.0,4.0,4,45.25,0,101,101,32,0,136
37,Flatten,"Flatten_37 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
38,Flatten,"Flatten_38 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
39,Flatten,"Flatten_39 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
40,Flatten,"Flatten_40 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
41,BinaryMap,BinaryMap_41 (fn: Matmul),120.0,136,16.0,614.0,535,-79.0,494.0,399,-95.0,5.0,4,96.0,96,101,101,32,0,232
42,BinaryMap,BinaryMap_42 (fn: Matmul),226.0,136,-90.0,613.0,535,-78.0,387.0,399,12.0,3.0,4,96.0,96,101,101,32,0,232
43,BinaryMap,BinaryMap_43 (fn: Matmul),175.0,136,-39.0,655.0,535,-120.0,480.0,399,-81.0,5.0,4,96.0,96,101,101,32,0,232
44,BinaryMap,BinaryMap_44 (fn: Matmul),126.0,136,10.0,629.0,535,-94.0,503.0,399,-104.0,4.0,4,96.0,96,101,101,32,0,232
45,UnaryMap,UnaryMap_45 (fn: Silu),217.0,232,15.0,617.0,536,-81.0,400.0,304,-96.0,5.0,4,2.0,1,101,101,32,0,233
46,UnaryMap,UnaryMap_46 (fn: Silu),323.0,232,-91.0,616.0,536,-80.0,293.0,304,11.0,3.0,4,2.0,1,101,101,32,0,233
47,UnaryMap,UnaryMap_47 (fn: Silu),272.0,232,-40.0,658.0,536,-122.0,386.0,304,-82.0,5.0,4,2.0,1,101,101,32,0,233
48,UnaryMap,UnaryMap_48 (fn: Silu),223.0,232,9.0,632.0,536,-96.0,409.0,304,-105.0,4.0,4,2.0,1,101,101,32,0,233
49,BinaryMap,BinaryMap_49 (fn: Mul),220.0,233,13.0,619.0,537,-82.0,399.0,304,-95.0,5.0,4,1.0,1,101,101,32,0,234
50,BinaryMap,BinaryMap_50 (fn: Mul),326.0,233,-93.0,620.0,537,-83.0,294.0,304,10.0,3.0,4,1.0,1,101,101,32,0,234
51,BinaryMap,BinaryMap_51 (fn: Mul),275.0,233,-42.0,660.0,537,-123.0,385.0,304,-81.0,5.0,4,1.0,1,101,101,32,0,234
52,BinaryMap,BinaryMap_52 (fn: Mul),226.0,233,7.0,634.0,537,-97.0,408.0,304,-104.0,4.0,4,1.0,1,101,101,32,0,234
53,LinearOffChipLoadRef,LinearOffChipLoadRef_53 (rank=0),79.0,35,-44.0,518.0,439,-79.0,439.0,404,-35.0,5.0,4,45.0,0,101,101,32,0,136
54,LinearOffChipLoadRef,LinearOffChipLoadRef_54 (rank=0),195.0,35,-160.0,518.0,439,-79.0,323.0,404,81.0,3.0,4,47.333333333333336,0,101,101,32,0,136
55,LinearOffChipLoadRef,LinearOffChipLoadRef_55 (rank=0),133.0,35,-98.0,528.0,439,-89.0,395.0,404,9.0,5.0,4,44.8,0,101,101,32,0,136
56,LinearOffChipLoadRef,LinearOffChipLoadRef_56 (rank=0),89.0,35,-54.0,526.0,439,-87.0,437.0,404,-33.0,4.0,4,46.25,0,101,101,32,0,136
57,Flatten,"Flatten_57 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
58,Flatten,"Flatten_58 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
59,Flatten,"Flatten_59 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
60,Flatten,"Flatten_60 (0 D, 1 D)",,136,,,439,,,303,,,4,,0,101,101,32,0,136
61,BinaryMapAccum,BinaryMapAccum_61 (fn: Matmul(transposed=False)),222.0,234,12.0,716.0,633,-83.0,494.0,399,-95.0,5.0,4,96.0,96,101,101,32,0,330
62,BinaryMapAccum,BinaryMapAccum_62 (fn: Matmul(transposed=False)),328.0,234,-94.0,717.0,633,-84.0,389.0,399,10.0,3.0,4,96.0,96,101,101,32,0,330
63,BinaryMapAccum,BinaryMapAccum_63 (fn: Matmul(transposed=False)),277.0,234,-43.0,757.0,633,-124.0,480.0,399,-81.0,5.0,4,96.0,96,101,101,32,0,330
64,BinaryMapAccum,BinaryMapAccum_64 (fn: Matmul(transposed=False)),228.0,234,6.0,731.0,633,-98.0,503.0,399,-104.0,4.0,4,96.0,96,101,101,32,0,330
65,RetileStreamify,RetileStreamify_65,,330,,,633,,,303,,,16,,0,101,25,32,0,330
66,RetileStreamify,RetileStreamify_66,,330,,,633,,,303,,,16,,0,101,25,32,0,330
67,RetileStreamify,RetileStreamify_67,,330,,,633,,,303,,,16,,0,101,25,32,0,330
68,RetileStreamify,RetileStreamify_68,,330,,,633,,,303,,,16,,0,101,25,32,0,330
69,FlatPartition,FlatPartition_69 (0 D),6.0,8,2.0,763.0,513,-250.0,757.0,505,-252.0,64.0,64,8.875,1,8,32,0,0,9
70,BinaryMap,BinaryMap_70 (fn: Mul),320.0,330,10.0,727.0,811,84.0,407.0,481,74.0,19.0,16,8.0,1,32,32,32,0,331
71,BinaryMap,BinaryMap_71 (fn: Mul),426.0,330,-96.0,735.0,811,76.0,309.0,481,172.0,11.0,16,1.0,1,32,32,32,0,331
72,BinaryMap,BinaryMap_72 (fn: Mul),375.0,330,-45.0,768.0,811,43.0,393.0,481,88.0,19.0,16,7.052631578947368,1,32,32,32,0,331
73,BinaryMap,BinaryMap_73 (fn: Mul),326.0,330,4.0,765.0,811,46.0,439.0,481,42.0,15.0,16,4.866666666666666,1,32,32,32,0,331
74,SelectGen,SelectGen_74,,0,,,0,,,0,,,64,,0,0,0,0,0,0
75,FlatReassemble,FlatReassemble_75 (0 D),322.0,331,9.0,792.0,835,43.0,470.0,504,34.0,64.0,64,33.640625,0,8,8,32,0,331
76,Accum,Accum_76 (1 D) (fn: Add),324.0,331,7.0,801.0,836,35.0,477.0,505,28.0,64.0,64,1.0,1,8,8,32,0,332
77,OffChipStore,OffChipStore_77,326.0,332,6.0,814.0,842,28.0,488.0,510,22.0,64.0,64,6.4375,0,8,8,8,0,338
78,Broadcast,Broadcast_78,,35,,,131,,,96,,,4,,0,32,32,0,0,35
79,Broadcast,Broadcast_79,,35,,,131,,,96,,,4,,0,32,32,0,0,35
80,Broadcast,Broadcast_80,,35,,,131,,,96,,,4,,0,32,32,0,0,35
81,Broadcast,Broadcast_81,,35,,,131,,,96,,,4,,0,32,32,0,0,35
82,Broadcast,Broadcast_82,,35,,,131,,,96,,,4,,0,32,32,32,0,35
83,Broadcast,Broadcast_83,,35,,,131,,,96,,,4,,0,32,32,32,0,35
84,Broadcast,Broadcast_84,,35,,,131,,,96,,,4,,0,32,32,32,0,35
85,Broadcast,Broadcast_85,,35,,,131,,,96,,,4,,0,32,32,32,0,35
