op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
498,LinearOffChipLoad,LinearOffChipLoad_498,0.0,0,0.0,40.0,48,8.0,40.0,48,8.0,8.0,8,5.0,0,6,6,0,0,6
499,SelectGen,SelectGen_499,,0,,,0,,,0,,,8,,0,0,0,0,0,0
500,SelectGen,SelectGen_500,,0,,,0,,,0,,,16,,0,0,0,0,0,0
501,LinearOffChipLoad,LinearOffChipLoad_501,0.0,0,0.0,367.0,256,-111.0,367.0,256,-111.0,16.0,16,5.0,0,16,16,0,0,16
502,FlatPartition,FlatPartition_502 (0 D),6.0,6,0.0,44.0,26,-18.0,38.0,20,-18.0,8.0,4,3.0,2,6,24,0,0,8
503,Reshape,Reshape_503 (0 D) (chunk: 4),,8,,,80,,,72,,,4,,0,24,6,0,0,8
504,Flatten,"Flatten_504 (1 D, 2 D)",,8,,,26,,,18,,,4,,0,6,6,0,0,8
505,Accum,Accum_505 (1 D) (fn: RetileRow),47.0,8,-39.0,47.0,27,-20.0,0.0,19,19.0,1.0,1,0.0,1,24,24,0,18,27
506,Reshape,Reshape_506 (0 D) (chunk: 4),,8,,,80,,,72,,,4,,0,24,6,0,0,8
507,Flatten,"Flatten_507 (1 D, 2 D)",,8,,,26,,,18,,,4,,0,6,6,0,0,8
508,Accum,Accum_508 (1 D) (fn: RetileRow),43.0,8,-35.0,43.0,27,-16.0,0.0,19,19.0,1.0,1,0.0,1,24,24,0,18,27
509,Reshape,Reshape_509 (0 D) (chunk: 4),,8,,,80,,,72,,,4,,0,24,6,0,0,8
510,Flatten,"Flatten_510 (1 D, 2 D)",,8,,,26,,,18,,,4,,0,6,6,0,0,8
511,Accum,Accum_511 (1 D) (fn: RetileRow),43.0,8,-35.0,43.0,27,-16.0,0.0,19,19.0,1.0,1,0.0,1,24,24,0,18,27
512,Reshape,Reshape_512 (0 D) (chunk: 4),,8,,,80,,,72,,,4,,0,24,6,0,0,8
513,Flatten,"Flatten_513 (1 D, 2 D)",,8,,,26,,,18,,,4,,0,6,6,0,0,8
514,Accum,Accum_514 (1 D) (fn: RetileRow),47.0,8,-39.0,51.0,27,-24.0,4.0,19,15.0,2.0,1,0.0,1,24,24,0,18,27
515,RepeatStatic,RepeatStatic_515,,27,,,27,,,0,,,1,,0,0,0,0,0,27
516,RepeatStatic,RepeatStatic_516,,27,,,27,,,0,,,1,,0,0,0,0,0,27
517,RepeatStatic,RepeatStatic_517,,27,,,27,,,0,,,1,,0,0,0,0,0,27
518,RepeatStatic,RepeatStatic_518,,27,,,27,,,0,,,1,,0,0,0,0,0,27
519,LinearOffChipLoadRef,LinearOffChipLoadRef_519 (rank=0),49.0,27,-22.0,121.0,128,7.0,72.0,101,29.0,1.0,1,72.0,0,101,101,0,0,128
520,LinearOffChipLoadRef,LinearOffChipLoadRef_520 (rank=0),45.0,27,-18.0,116.0,128,12.0,71.0,101,30.0,1.0,1,71.0,0,101,101,0,0,128
521,LinearOffChipLoadRef,LinearOffChipLoadRef_521 (rank=0),45.0,27,-18.0,116.0,128,12.0,71.0,101,30.0,1.0,1,71.0,0,101,101,0,0,128
