context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,498,0,5,False,5
33,LinearOffChipLoad,498,5,10,False,5
33,LinearOffChipLoad,498,10,15,False,5
33,LinearOffChipLoad,498,15,20,False,5
33,LinearOffChipLoad,498,20,25,False,5
33,LinearOffChipLoad,498,25,30,False,5
33,LinearOffChipLoad,498,30,35,False,5
33,LinearOffChipLoad,498,35,40,True,5
100,LinearOffChipLoad,501,0,5,False,5
100,LinearOffChipLoad,501,5,10,True,5
100,LinearOffChipLoad,501,10,15,False,5
100,LinearOffChipLoad,501,15,20,True,5
100,LinearOffChipLoad,501,20,25,False,5
100,LinearOffChipLoad,501,25,30,True,5
100,LinearOffChipLoad,501,30,35,False,5
100,LinearOffChipLoad,501,35,40,True,5
100,LinearOffChipLoad,501,327,332,False,5
100,LinearOffChipLoad,501,332,337,True,5
100,LinearOffChipLoad,501,337,342,False,5
100,LinearOffChipLoad,501,342,347,True,5
100,LinearOffChipLoad,501,347,352,False,5
100,LinearOffChipLoad,501,352,357,True,5
100,LinearOffChipLoad,501,357,362,False,5
100,LinearOffChipLoad,501,362,367,True,5
34,FlatPartition,502,6,9,True,3
34,FlatPartition,502,11,14,True,3
34,FlatPartition,502,16,19,True,3
34,FlatPartition,502,21,24,True,3
34,FlatPartition,502,26,29,True,3
34,FlatPartition,502,31,34,True,3
34,FlatPartition,502,36,39,True,3
34,FlatPartition,502,41,44,True,3
38,Accum,505,47,47,True,0
41,Accum,508,43,43,True,0
44,Accum,511,43,43,True,0
47,Accum,514,47,47,True,0
47,Accum,514,51,51,True,0
52,LinearOffChipLoadRef,519,49,121,True,72
53,LinearOffChipLoadRef,520,45,116,True,71
54,LinearOffChipLoadRef,521,45,116,True,71
55,LinearOffChipLoadRef,522,49,121,True,72
55,LinearOffChipLoadRef,522,121,150,True,29
60,BinaryMap,527,123,219,True,96
61,BinaryMap,528,118,214,True,96
62,BinaryMap,529,118,214,True,96
63,BinaryMap,530,123,219,True,96
63,BinaryMap,530,219,315,True,96
64,LinearOffChipLoadRef,531,49,121,True,72
65,LinearOffChipLoadRef,532,45,114,True,69
66,LinearOffChipLoadRef,533,45,112,True,67
67,LinearOffChipLoadRef,534,49,121,True,72
67,LinearOffChipLoadRef,534,121,150,True,29
72,BinaryMap,539,123,219,True,96
73,BinaryMap,540,116,212,True,96
74,BinaryMap,541,114,210,True,96
75,BinaryMap,542,123,219,True,96
75,BinaryMap,542,219,315,True,96
76,UnaryMap,543,220,222,True,2
77,UnaryMap,544,213,215,True,2
78,UnaryMap,545,211,213,True,2
79,UnaryMap,546,220,222,True,2
