op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
364,LinearOffChipLoad,LinearOffChipLoad_364,0.0,0,0.0,20.0,24,4.0,20.0,24,4.0,4.0,4,5.0,0,6,6,0,0,6
365,SelectGen,SelectGen_365,,0,,,0,,,0,,,4,,0,0,0,0,0,0
366,SelectGen,SelectGen_366,,0,,,0,,,0,,,4,,0,0,0,0,0,0
367,LinearOffChipLoad,LinearOffChipLoad_367,0.0,0,0.0,20.0,24,4.0,20.0,24,4.0,4.0,4,5.0,0,6,6,0,0,6
368,FlatPartition,FlatPartition_368 (0 D),6.0,6,0.0,23.0,13,-10.0,17.0,7,-10.0,4.0,2,2.0,1,6,12,0,0,7
369,Reshape,Reshape_369 (0 D) (chunk: 4),,7,,,43,,,36,,,4,,0,12,3,0,0,7
370,Flatten,"Flatten_370 (1 D, 2 D)",,7,,,16,,,9,,,4,,0,3,3,0,0,7
371,Accum,Accum_371 (1 D) (fn: RetileRow),26.0,7,-19.0,26.0,17,-9.0,0.0,10,10.0,1.0,1,0.0,1,12,12,0,9,17
372,Reshape,Reshape_372 (0 D) (chunk: 4),,7,,,43,,,36,,,4,,0,12,3,0,0,7
373,Flatten,"Flatten_373 (1 D, 2 D)",,7,,,16,,,9,,,4,,0,3,3,0,0,7
374,Accum,Accum_374 (1 D) (fn: RetileRow),26.0,7,-19.0,26.0,17,-9.0,0.0,10,10.0,1.0,1,0.0,1,12,12,0,9,17
375,RepeatStatic,RepeatStatic_375,,17,,,17,,,0,,,1,,0,0,0,0,0,17
376,RepeatStatic,RepeatStatic_376,,17,,,17,,,0,,,1,,0,0,0,0,0,17
377,LinearOffChipLoadRef,LinearOffChipLoadRef_377 (rank=0),28.0,17,-11.0,44.0,40,-4.0,16.0,23,7.0,1.0,1,16.0,0,23,23,0,0,40
378,LinearOffChipLoadRef,LinearOffChipLoadRef_378 (rank=0),28.0,17,-11.0,44.0,40,-4.0,16.0,23,7.0,1.0,1,16.0,0,23,23,0,0,40
379,Flatten,"Flatten_379 (0 D, 1 D)",,40,,,40,,,0,,,1,,0,0,0,0,0,40
380,Flatten,"Flatten_380 (0 D, 1 D)",,40,,,40,,,0,,,1,,0,0,0,0,0,40
381,BinaryMap,BinaryMap_381 (fn: Matmul),46.0,40,-6.0,78.0,72,-6.0,32.0,32,0.0,1.0,1,32.0,32,32,32,0,0,72
382,BinaryMap,BinaryMap_382 (fn: Matmul),46.0,40,-6.0,78.0,72,-6.0,32.0,32,0.0,1.0,1,32.0,32,32,32,0,0,72
383,LinearOffChipLoadRef,LinearOffChipLoadRef_383 (rank=0),28.0,17,-11.0,44.0,40,-4.0,16.0,23,7.0,1.0,1,16.0,0,23,23,0,0,40
384,LinearOffChipLoadRef,LinearOffChipLoadRef_384 (rank=0),28.0,17,-11.0,44.0,40,-4.0,16.0,23,7.0,1.0,1,16.0,0,23,23,0,0,40
385,Flatten,"Flatten_385 (0 D, 1 D)",,40,,,40,,,0,,,1,,0,0,0,0,0,40
386,Flatten,"Flatten_386 (0 D, 1 D)",,40,,,40,,,0,,,1,,0,0,0,0,0,40
387,BinaryMap,BinaryMap_387 (fn: Matmul),46.0,40,-6.0,78.0,72,-6.0,32.0,32,0.0,1.0,1,32.0,32,32,32,0,0,72
388,BinaryMap,BinaryMap_388 (fn: Matmul),46.0,40,-6.0,78.0,72,-6.0,32.0,32,0.0,1.0,1,32.0,32,32,32,0,0,72
389,UnaryMap,UnaryMap_389 (fn: Silu),79.0,72,-7.0,80.0,73,-7.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,73
390,UnaryMap,UnaryMap_390 (fn: Silu),79.0,72,-7.0,80.0,73,-7.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,73
391,BinaryMap,BinaryMap_391 (fn: Mul),81.0,73,-8.0,82.0,74,-8.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,74
392,BinaryMap,BinaryMap_392 (fn: Mul),81.0,73,-8.0,82.0,74,-8.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,74
393,LinearOffChipLoadRef,LinearOffChipLoadRef_393 (rank=0),28.0,17,-11.0,45.0,40,-5.0,17.0,23,6.0,1.0,1,17.0,0,23,23,0,0,40
394,LinearOffChipLoadRef,LinearOffChipLoadRef_394 (rank=0),28.0,17,-11.0,45.0,40,-5.0,17.0,23,6.0,1.0,1,17.0,0,23,23,0,0,40
395,Flatten,"Flatten_395 (0 D, 1 D)",,40,,,40,,,0,,,1,,0,0,0,0,0,40
396,Flatten,"Flatten_396 (0 D, 1 D)",,40,,,40,,,0,,,1,,0,0,0,0,0,40
397,BinaryMapAccum,BinaryMapAccum_397 (fn: Matmul(transposed=False)),83.0,74,-9.0,115.0,106,-9.0,32.0,32,0.0,1.0,1,32.0,32,32,32,0,0,106
398,BinaryMapAccum,BinaryMapAccum_398 (fn: Matmul(transposed=False)),83.0,74,-9.0,115.0,106,-9.0,32.0,32,0.0,1.0,1,32.0,32,32,32,0,0,106
399,RetileStreamify,RetileStreamify_399,,106,,,106,,,0,,,1,,0,0,0,0,0,106
400,RetileStreamify,RetileStreamify_400,,106,,,106,,,0,,,1,,0,0,0,0,0,106
