context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,364,0,5,False,5
33,LinearOffChipLoad,364,5,10,False,5
33,LinearOffChipLoad,364,10,15,False,5
33,LinearOffChipLoad,364,15,20,True,5
68,LinearOffChipLoad,367,0,5,True,5
68,LinearOffChipLoad,367,5,10,True,5
68,LinearOffChipLoad,367,10,15,True,5
68,LinearOffChipLoad,367,15,20,True,5
34,FlatPartition,368,6,8,True,2
34,FlatPartition,368,11,13,True,2
34,FlatPartition,368,16,18,True,2
34,FlatPartition,368,21,23,True,2
38,Accum,371,26,26,True,0
41,Accum,374,26,26,True,0
44,LinearOffChipLoadRef,377,28,44,True,16
45,LinearOffChipLoadRef,378,28,44,True,16
48,BinaryMap,381,46,78,True,32
49,BinaryMap,382,46,78,True,32
50,LinearOffChipLoadRef,383,28,44,True,16
51,LinearOffChipLoadRef,384,28,44,True,16
54,BinaryMap,387,46,78,True,32
55,BinaryMap,388,46,78,True,32
56,UnaryMap,389,79,80,True,1
57,UnaryMap,390,79,80,True,1
58,BinaryMap,391,81,82,True,1
59,BinaryMap,392,81,82,True,1
60,LinearOffChipLoadRef,393,28,45,True,17
61,LinearOffChipLoadRef,394,28,45,True,17
64,BinaryMapAccum,397,83,115,False,32
65,BinaryMapAccum,398,83,115,False,32
69,FlatPartition,401,6,8,True,2
69,FlatPartition,401,11,13,True,2
69,FlatPartition,401,16,18,True,2
69,FlatPartition,401,21,119,True,98
71,BinaryMap,402,117,118,False,1
71,BinaryMap,402,118,119,False,1
71,BinaryMap,402,120,121,False,1
72,BinaryMap,403,117,118,False,1
73,FlatReassemble,405,119,120,True,1
73,FlatReassemble,405,119,120,True,1
73,FlatReassemble,405,120,123,True,3
73,FlatReassemble,405,122,124,True,2
75,Accum,406,121,122,True,1
75,Accum,406,122,123,True,1
75,Accum,406,124,125,True,1
75,Accum,406,129,130,True,1
76,OffChipStore,407,123,128,False,5
76,OffChipStore,407,128,133,False,5
76,OffChipStore,407,133,138,False,5
76,OffChipStore,407,138,143,False,5
