name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,584,0,6,False
LinearOffChipLoad,584,6,12,False
LinearOffChipLoad,584,12,18,False
LinearOffChipLoad,584,18,24,False
LinearOffChipLoad,584,24,30,False
LinearOffChipLoad,584,30,36,False
LinearOffChipLoad,584,36,42,False
LinearOffChipLoad,584,42,48,False
SelectGen,585,0,0,False
SelectGen,585,0,0,False
SelectGen,585,0,0,False
SelectGen,585,0,0,False
SelectGen,585,0,0,False
SelectGen,585,0,0,False
SelectGen,585,0,0,False
SelectGen,585,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
SelectGen,586,0,0,False
LinearOffChipLoad,587,0,8,False
LinearOffChipLoad,587,8,16,False
LinearOffChipLoad,587,16,24,False
LinearOffChipLoad,587,24,32,False
LinearOffChipLoad,587,32,40,False
LinearOffChipLoad,587,40,48,False
LinearOffChipLoad,587,48,56,False
LinearOffChipLoad,587,56,64,False
LinearOffChipLoad,587,64,72,False
LinearOffChipLoad,587,72,80,False
LinearOffChipLoad,587,80,88,False
LinearOffChipLoad,587,88,96,False
LinearOffChipLoad,587,96,104,False
LinearOffChipLoad,587,104,112,False
LinearOffChipLoad,587,112,120,False
LinearOffChipLoad,587,120,128,False
FlatPartition,588,6,7,False
FlatPartition,588,12,13,False
FlatPartition,588,18,19,False
FlatPartition,588,24,25,False
Reshape,589,7,7,False
Reshape,589,30,31,False
Reshape,589,54,55,False
Reshape,589,78,79,False
Flatten,590,7,7,False
Flatten,590,12,13,False
Flatten,590,18,19,False
Flatten,590,24,25,False
Accum,591,25,26,False
Reshape,592,7,7,False
Reshape,592,30,31,False
Reshape,592,54,55,False
Reshape,592,78,79,False
Flatten,593,7,7,False
Flatten,593,12,13,False
Flatten,593,18,19,False
Flatten,593,24,25,False
Accum,594,25,26,False
Reshape,595,7,7,False
Reshape,595,30,31,False
Reshape,595,54,55,False
Reshape,595,78,79,False
Flatten,596,7,7,False
Flatten,596,12,13,False
Flatten,596,18,19,False
Flatten,596,24,25,False
Accum,597,25,26,False
Reshape,598,7,7,False
Reshape,598,30,31,False
Reshape,598,54,55,False
Reshape,598,78,79,False
Flatten,599,7,7,False
Flatten,599,12,13,False
Flatten,599,18,19,False
Flatten,599,24,25,False
Accum,600,25,26,False
RepeatStatic,601,26,26,False
RepeatStatic,602,26,26,False
RepeatStatic,603,26,26,False
RepeatStatic,604,26,26,False
LinearOffChipLoadRef,605,26,63,False
LinearOffChipLoadRef,606,26,63,False
LinearOffChipLoadRef,607,26,63,False
LinearOffChipLoadRef,608,26,63,False
Flatten,609,63,63,False
Flatten,610,63,63,False
Flatten,611,63,63,False
Flatten,612,63,63,False
BinaryMap,613,63,95,False
BinaryMap,614,63,95,False
BinaryMap,615,63,95,False
BinaryMap,616,63,95,False
LinearOffChipLoadRef,617,26,63,False
LinearOffChipLoadRef,618,26,63,False
LinearOffChipLoadRef,619,26,63,False
LinearOffChipLoadRef,620,26,63,False
Flatten,621,63,63,False
Flatten,622,63,63,False
Flatten,623,63,63,False
Flatten,624,63,63,False
BinaryMap,625,63,95,False
BinaryMap,626,63,95,False
BinaryMap,627,63,95,False
BinaryMap,628,63,95,False
UnaryMap,629,95,96,False
UnaryMap,630,95,96,False
UnaryMap,631,95,96,False
UnaryMap,632,95,96,False
BinaryMap,633,96,97,False
BinaryMap,634,96,97,False
BinaryMap,635,96,97,False
BinaryMap,636,96,97,False
LinearOffChipLoadRef,637,26,63,False
LinearOffChipLoadRef,638,26,63,False
LinearOffChipLoadRef,639,26,63,False
LinearOffChipLoadRef,640,26,63,False
Flatten,641,63,63,False
Flatten,642,63,63,False
Flatten,643,63,63,False
Flatten,644,63,63,False
BinaryMapAccum,645,97,129,False
BinaryMapAccum,646,97,129,False
BinaryMapAccum,647,97,129,False
BinaryMapAccum,648,97,129,False
RetileStreamify,649,129,129,False
RetileStreamify,650,129,129,False
RetileStreamify,651,129,129,False
RetileStreamify,652,129,129,False
FlatPartition,653,8,9,False
FlatPartition,653,16,17,False
FlatPartition,653,24,25,False
FlatPartition,653,32,33,False
BinaryMap,654,129,130,False
BinaryMap,655,129,130,False
BinaryMap,656,129,130,False
BinaryMap,657,129,130,False
SelectGen,658,0,0,False
SelectGen,658,0,0,False
SelectGen,658,0,0,False
SelectGen,658,0,0,False
SelectGen,658,0,0,False
SelectGen,658,0,0,False
SelectGen,658,0,0,False
SelectGen,658,0,0,False
FlatReassemble,659,130,130,False
FlatReassemble,659,130,130,False
FlatReassemble,659,130,130,False
FlatReassemble,659,130,130,False
FlatReassemble,659,130,130,False
FlatReassemble,659,130,130,False
FlatReassemble,659,130,130,False
FlatReassemble,659,130,130,False
Accum,660,130,131,False
Accum,660,131,132,False
Accum,660,132,133,False
Accum,660,133,134,False
Accum,660,134,135,False
Accum,660,135,136,False
Accum,660,136,137,False
Accum,660,137,138,False
OffChipStore,661,131,137,False
