context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,584,0,5,False,5
33,LinearOffChipLoad,584,5,10,False,5
33,LinearOffChipLoad,584,10,15,False,5
33,LinearOffChipLoad,584,15,20,False,5
33,LinearOffChipLoad,584,20,25,False,5
33,LinearOffChipLoad,584,25,30,False,5
33,LinearOffChipLoad,584,30,35,False,5
33,LinearOffChipLoad,584,35,40,True,5
100,LinearOffChipLoad,587,0,5,False,5
100,LinearOffChipLoad,587,5,10,True,5
100,LinearOffChipLoad,587,10,15,False,5
100,LinearOffChipLoad,587,15,20,True,5
100,LinearOffChipLoad,587,20,25,False,5
100,LinearOffChipLoad,587,25,30,True,5
100,LinearOffChipLoad,587,30,35,False,5
100,LinearOffChipLoad,587,35,40,True,5
100,LinearOffChipLoad,587,40,45,False,5
100,LinearOffChipLoad,587,45,50,True,5
100,LinearOffChipLoad,587,50,65,False,15
100,LinearOffChipLoad,587,148,153,True,5
100,LinearOffChipLoad,587,153,158,False,5
100,LinearOffChipLoad,587,158,163,True,5
100,LinearOffChipLoad,587,163,168,False,5
100,LinearOffChipLoad,587,168,173,True,5
34,FlatPartition,588,6,8,True,2
34,FlatPartition,588,11,13,True,2
34,FlatPartition,588,16,18,True,2
34,FlatPartition,588,21,23,True,2
34,FlatPartition,588,26,28,True,2
34,FlatPartition,588,31,33,True,2
34,FlatPartition,588,36,38,True,2
34,FlatPartition,588,41,43,True,2
38,Accum,591,44,44,True,0
41,Accum,594,44,44,True,0
44,Accum,597,46,46,True,0
44,Accum,597,50,50,True,0
47,Accum,600,46,46,True,0
47,Accum,600,50,50,True,0
52,LinearOffChipLoadRef,605,46,71,True,25
53,LinearOffChipLoadRef,606,46,70,True,24
54,LinearOffChipLoadRef,607,48,75,True,27
54,LinearOffChipLoadRef,607,75,91,True,16
55,LinearOffChipLoadRef,608,48,75,True,27
55,LinearOffChipLoadRef,608,75,91,True,16
60,BinaryMap,613,73,105,True,32
61,BinaryMap,614,72,104,True,32
62,BinaryMap,615,77,109,True,32
62,BinaryMap,615,109,141,True,32
63,BinaryMap,616,77,109,True,32
63,BinaryMap,616,109,141,True,32
64,LinearOffChipLoadRef,617,46,69,True,23
65,LinearOffChipLoadRef,618,46,71,True,25
66,LinearOffChipLoadRef,619,48,75,True,27
66,LinearOffChipLoadRef,619,75,92,True,17
67,LinearOffChipLoadRef,620,48,77,True,29
67,LinearOffChipLoadRef,620,77,93,True,16
72,BinaryMap,625,71,103,True,32
73,BinaryMap,626,73,105,True,32
74,BinaryMap,627,77,109,True,32
74,BinaryMap,627,109,141,True,32
75,BinaryMap,628,79,111,True,32
75,BinaryMap,628,111,143,True,32
76,UnaryMap,629,104,105,True,1
77,UnaryMap,630,106,107,True,1
78,UnaryMap,631,110,111,True,1
78,UnaryMap,631,142,143,True,1
79,UnaryMap,632,112,113,True,1
79,UnaryMap,632,144,145,True,1
80,BinaryMap,633,106,107,True,1
81,BinaryMap,634,108,109,True,1
82,BinaryMap,635,112,113,True,1
82,BinaryMap,635,144,145,True,1
83,BinaryMap,636,114,115,True,1
83,BinaryMap,636,146,147,True,1
84,LinearOffChipLoadRef,637,46,71,True,25
85,LinearOffChipLoadRef,638,46,73,True,27
86,LinearOffChipLoadRef,639,48,77,True,29
86,LinearOffChipLoadRef,639,77,94,True,17
87,LinearOffChipLoadRef,640,48,75,True,27
87,LinearOffChipLoadRef,640,75,94,True,19
92,BinaryMapAccum,645,108,140,False,32
93,BinaryMapAccum,646,110,142,False,32
94,BinaryMapAccum,647,114,146,False,32
94,BinaryMapAccum,647,146,178,False,32
95,BinaryMapAccum,648,116,148,False,32
95,BinaryMapAccum,648,148,180,False,32
101,FlatPartition,653,6,8,True,2
101,FlatPartition,653,11,13,True,2
101,FlatPartition,653,16,18,True,2
101,FlatPartition,653,21,23,True,2
101,FlatPartition,653,26,28,True,2
101,FlatPartition,653,31,33,True,2
101,FlatPartition,653,36,38,True,2
101,FlatPartition,653,41,146,True,105
101,FlatPartition,653,146,148,True,2
101,FlatPartition,653,148,150,True,2
101,FlatPartition,653,150,152,True,2
101,FlatPartition,653,154,156,True,2
101,FlatPartition,653,159,161,True,2
101,FlatPartition,653,164,166,True,2
101,FlatPartition,653,169,171,True,2
101,FlatPartition,653,174,176,True,2
103,BinaryMap,654,142,143,False,1
103,BinaryMap,654,143,144,False,1
103,BinaryMap,654,149,152,False,3
104,BinaryMap,655,144,145,False,1
104,BinaryMap,655,145,146,False,1
104,BinaryMap,655,147,148,False,1
105,BinaryMap,656,148,149,False,1
105,BinaryMap,656,149,150,False,1
105,BinaryMap,656,157,158,False,1
105,BinaryMap,656,162,163,False,1
105,BinaryMap,656,180,181,False,1
106,BinaryMap,657,150,151,False,1
106,BinaryMap,657,151,152,False,1
106,BinaryMap,657,153,156,False,3
106,BinaryMap,657,167,168,False,1
106,BinaryMap,657,182,183,False,1
107,FlatReassemble,659,144,151,True,7
107,FlatReassemble,659,145,155,True,10
107,FlatReassemble,659,146,147,True,1
107,FlatReassemble,659,147,154,True,7
107,FlatReassemble,659,149,158,True,9
107,FlatReassemble,659,150,151,True,1
107,FlatReassemble,659,151,160,True,9
107,FlatReassemble,659,152,157,True,5
107,FlatReassemble,659,153,162,True,9
107,FlatReassemble,659,153,163,True,10
107,FlatReassemble,659,157,167,True,10
107,FlatReassemble,659,159,168,True,9
107,FlatReassemble,659,164,172,True,8
107,FlatReassemble,659,169,173,True,4
107,FlatReassemble,659,182,183,True,1
107,FlatReassemble,659,184,185,True,1
109,Accum,660,152,153,True,1
109,Accum,660,155,156,True,1
109,Accum,660,158,159,True,1
109,Accum,660,161,162,True,1
109,Accum,660,166,167,True,1
109,Accum,660,171,172,True,1
109,Accum,660,176,177,True,1
109,Accum,660,186,187,True,1
110,OffChipStore,661,154,159,False,5
110,OffChipStore,661,159,164,False,5
110,OffChipStore,661,164,169,False,5
110,OffChipStore,661,169,174,False,5
110,OffChipStore,661,174,179,False,5
110,OffChipStore,661,179,184,False,5
110,OffChipStore,661,184,189,False,5
110,OffChipStore,661,189,194,False,5
