name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,349,0,51,False
RepeatStatic,350,51,51,False
RepeatStatic,350,51,51,False
RepeatStatic,350,51,51,False
RepeatStatic,350,51,51,False
RepeatStatic,350,51,51,False
RepeatStatic,350,51,51,False
RepeatStatic,350,51,51,False
RepeatStatic,350,51,51,False
LinearOffChipLoad,351,0,45,False
LinearOffChipLoad,351,45,90,False
LinearOffChipLoad,351,90,135,False
LinearOffChipLoad,351,135,180,False
LinearOffChipLoad,351,180,225,False
LinearOffChipLoad,351,225,270,False
LinearOffChipLoad,351,270,315,False
LinearOffChipLoad,351,315,360,False
BinaryMap,352,51,307,False
BinaryMap,352,307,563,False
BinaryMap,352,563,819,False
BinaryMap,352,819,1075,False
BinaryMap,352,1075,1331,False
BinaryMap,352,1331,1587,False
BinaryMap,352,1587,1843,False
BinaryMap,352,1843,2099,False
OffChipStore,353,307,316,False
OffChipStore,353,316,572,False
OffChipStore,353,572,828,False
OffChipStore,353,828,1084,False
OffChipStore,353,1084,1340,False
OffChipStore,353,1340,1596,False
OffChipStore,353,1596,1852,False
OffChipStore,353,1852,2108,False
