context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,349,0,37,True,37
36,LinearOffChipLoad,351,0,37,False,37
36,LinearOffChipLoad,351,37,73,False,36
36,LinearOffChipLoad,351,73,109,False,36
36,LinearOffChipLoad,351,296,332,False,36
36,LinearOffChipLoad,351,552,588,False,36
36,LinearOffChipLoad,351,808,844,False,36
36,LinearOffChipLoad,351,1064,1100,False,36
36,LinearOffChipLoad,351,1320,1356,True,36
35,BinaryMap,352,39,295,False,256
35,BinaryMap,352,295,551,False,256
35,BinaryMap,352,551,807,False,256
35,BinaryMap,352,807,1063,False,256
35,BinaryMap,352,1063,1319,False,256
35,BinaryMap,352,1319,1575,False,256
35,BinaryMap,352,1575,1831,False,256
35,BinaryMap,352,1831,2087,True,256
37,OffChipStore,353,296,305,False,9
37,OffChipStore,353,552,561,False,9
37,OffChipStore,353,808,817,False,9
37,OffChipStore,353,1064,1073,False,9
37,OffChipStore,353,1320,1329,False,9
37,OffChipStore,353,1576,1584,False,8
37,OffChipStore,353,1832,1840,False,8
37,OffChipStore,353,2088,2096,False,8
