name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,344,0,27,False
RepeatStatic,345,27,27,False
RepeatStatic,345,27,27,False
RepeatStatic,345,27,27,False
RepeatStatic,345,27,27,False
LinearOffChipLoad,346,0,25,False
LinearOffChipLoad,346,25,50,False
LinearOffChipLoad,346,50,75,False
LinearOffChipLoad,346,75,100,False
BinaryMap,347,27,155,False
BinaryMap,347,155,283,False
BinaryMap,347,283,411,False
BinaryMap,347,411,539,False
OffChipStore,348,155,164,False
OffChipStore,348,164,292,False
OffChipStore,348,292,420,False
OffChipStore,348,420,548,False
