name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,117,0,23,False
LinearOffChipLoad,117,23,46,False
LinearOffChipLoad,117,46,69,False
LinearOffChipLoad,117,69,92,False
UnaryMap,118,23,87,False
UnaryMap,118,87,151,False
UnaryMap,118,151,215,False
UnaryMap,118,215,279,False
UnaryMap,119,87,88,False
UnaryMap,119,151,152,False
UnaryMap,119,215,216,False
UnaryMap,119,279,280,False
UnaryMap,120,88,89,False
UnaryMap,120,152,153,False
UnaryMap,120,216,217,False
UnaryMap,120,280,281,False
UnaryMap,121,89,90,False
UnaryMap,121,153,154,False
UnaryMap,121,217,218,False
UnaryMap,121,281,282,False
UnaryMap,122,90,91,False
UnaryMap,122,154,155,False
UnaryMap,122,218,219,False
UnaryMap,122,282,283,False
BinaryMap,123,91,155,False
BinaryMap,123,155,219,False
BinaryMap,123,219,283,False
BinaryMap,123,283,347,False
OffChipStore,124,155,178,False
OffChipStore,124,178,242,False
OffChipStore,124,242,306,False
OffChipStore,124,306,370,False
Broadcast,125,23,23,False
Broadcast,125,45,46,False
Broadcast,125,68,69,False
Broadcast,125,91,92,False
