op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
0,LinearOffChipLoad,LinearOffChipLoad_0,0.0,0,0.0,30220.0,8352,-21868.0,30220.0,8352,-21868.0,32.0,32,260.9375,0,261,261,0,0,261
1,LinearOffChipLoad,LinearOffChipLoad_1,0.0,0,0.0,32310.0,8352,-23958.0,32310.0,8352,-23958.0,32.0,32,261.0,0,261,261,0,0,261
2,UnaryMap,UnaryMap_2 (fn: Square),262.0,261,-1.0,33030.0,33029,-1.0,32768.0,32768,0.0,32.0,32,1024.0,1024,1024,1024,0,0,1285
3,UnaryMap,UnaryMap_3 (fn: MulImmediate),1287.0,1285,-2.0,33047.0,33045,-2.0,31760.0,31760,0.0,32.0,32,16.0,16,1024,1024,0,0,1301
4,UnaryMap,UnaryMap_4 (fn: RowWiseSum),1304.0,1301,-3.0,33064.0,33061,-3.0,31760.0,31760,0.0,32.0,32,16.0,16,1024,1024,0,0,1317
5,Accum,Accum_5 (1 D) (fn: Add),2345.0,1317,-1028.0,33066.0,33062,-4.0,30721.0,31745,1024.0,16.0,16,1.0,1,2048,2048,0,1024,2342
6,UnaryMap,UnaryMap_6 (fn: AddImmediate),2347.0,2342,-5.0,33068.0,33063,-5.0,30721.0,30721,0.0,16.0,16,1.0,1,2048,2048,0,0,2343
7,UnaryMap,UnaryMap_7 (fn: Rsqrt),2349.0,2343,-6.0,33070.0,33064,-6.0,30721.0,30721,0.0,16.0,16,1.0,1,2048,2048,0,0,2344
8,RepeatStatic,RepeatStatic_8,,2344,,,34088,,,31744,,,32,,0,2048,1024,0,0,2344
9,BinaryMap,BinaryMap_9 (fn: Mul),2352.0,2344,-8.0,35120.0,35112,-8.0,32768.0,32768,0.0,32.0,32,1024.0,1024,1024,1024,0,0,3368
10,OffChipStore,OffChipStore_10,3377.0,3368,-9.0,35381.0,35373,-8.0,32004.0,32005,1.0,32.0,32,260.90625,0,1024,1024,1024,0,3629
