name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,108,0,23,False
LinearOffChipLoad,108,23,46,False
UnaryMap,109,23,87,False
UnaryMap,109,87,151,False
UnaryMap,110,87,88,False
UnaryMap,110,151,152,False
UnaryMap,111,88,89,False
UnaryMap,111,152,153,False
UnaryMap,112,89,90,False
UnaryMap,112,153,154,False
UnaryMap,113,90,91,False
UnaryMap,113,154,155,False
BinaryMap,114,91,155,False
BinaryMap,114,155,219,False
OffChipStore,115,155,178,False
OffChipStore,115,178,242,False
Broadcast,116,23,23,False
Broadcast,116,45,46,False
