name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,320,0,39,False
RepeatStatic,321,39,39,False
RepeatStatic,321,39,39,False
RepeatStatic,321,39,39,False
RepeatStatic,321,39,39,False
RepeatStatic,321,39,39,False
RepeatStatic,321,39,39,False
RepeatStatic,321,39,39,False
RepeatStatic,321,39,39,False
LinearOffChipLoad,322,0,53,False
LinearOffChipLoad,322,53,106,False
LinearOffChipLoad,322,106,159,False
LinearOffChipLoad,322,159,212,False
LinearOffChipLoad,322,212,265,False
LinearOffChipLoad,322,265,318,False
LinearOffChipLoad,322,318,371,False
LinearOffChipLoad,322,371,424,False
BinaryMap,323,53,245,False
BinaryMap,323,245,437,False
BinaryMap,323,437,629,False
BinaryMap,323,629,821,False
BinaryMap,323,821,1013,False
BinaryMap,323,1013,1205,False
BinaryMap,323,1205,1397,False
BinaryMap,323,1397,1589,False
UnaryMap,324,245,246,False
UnaryMap,324,437,438,False
UnaryMap,324,629,630,False
UnaryMap,324,821,822,False
UnaryMap,324,1013,1014,False
UnaryMap,324,1205,1206,False
UnaryMap,324,1397,1398,False
UnaryMap,324,1589,1590,False
Broadcast,325,246,246,False
Broadcast,325,437,438,False
Broadcast,325,629,630,False
Broadcast,325,821,822,False
Broadcast,325,1013,1014,False
Broadcast,325,1205,1206,False
Broadcast,325,1397,1398,False
Broadcast,325,1589,1590,False
LinearOffChipLoad,326,0,53,False
LinearOffChipLoad,326,53,106,False
LinearOffChipLoad,326,106,159,False
LinearOffChipLoad,326,159,212,False
LinearOffChipLoad,326,212,265,False
LinearOffChipLoad,326,265,318,False
LinearOffChipLoad,326,318,371,False
LinearOffChipLoad,326,371,424,False
BinaryMapAccum,327,1590,1718,False
Accum,328,1590,1591,False
UnaryMap,329,1591,1592,False
BinaryMap,330,1718,1782,False
OffChipStore,331,1782,1805,False
