name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,332,0,29,False
RepeatStatic,333,29,29,False
RepeatStatic,333,29,29,False
RepeatStatic,333,29,29,False
RepeatStatic,333,29,29,False
LinearOffChipLoad,334,0,53,False
LinearOffChipLoad,334,53,106,False
LinearOffChipLoad,334,106,159,False
LinearOffChipLoad,334,159,212,False
BinaryMap,335,53,213,False
BinaryMap,335,213,373,False
BinaryMap,335,373,533,False
BinaryMap,335,533,693,False
UnaryMap,336,213,214,False
UnaryMap,336,373,374,False
UnaryMap,336,533,534,False
UnaryMap,336,693,694,False
Broadcast,337,214,214,False
Broadcast,337,373,374,False
Broadcast,337,533,534,False
Broadcast,337,693,694,False
LinearOffChipLoad,338,0,53,False
LinearOffChipLoad,338,53,106,False
LinearOffChipLoad,338,106,159,False
LinearOffChipLoad,338,159,212,False
BinaryMapAccum,339,694,822,False
Accum,340,694,695,False
UnaryMap,341,695,696,False
BinaryMap,342,822,854,False
OffChipStore,343,854,867,False
