op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
332,LinearOffChipLoad,LinearOffChipLoad_332,0.0,0,0.0,13.0,29,16.0,13.0,29,16.0,1.0,1,13.0,0,29,29,0,0,29
333,RepeatStatic,RepeatStatic_333,,29,,,29,,,0,,,4,,0,0,0,0,0,29
334,LinearOffChipLoad,LinearOffChipLoad_334,0.0,0,0.0,235.0,212,-23.0,235.0,212,-23.0,4.0,4,36.75,0,53,53,0,0,53
335,BinaryMap,BinaryMap_335 (fn: Matmul),38.0,53,15.0,678.0,693,15.0,640.0,640,0.0,4.0,4,160.0,160,160,160,0,0,213
336,UnaryMap,UnaryMap_336 (fn: Exp),199.0,213,14.0,680.0,694,14.0,481.0,481,0.0,4.0,4,1.0,1,160,160,0,0,214
337,Broadcast,Broadcast_337,,214,,,694,,,480,,,4,,0,160,160,0,0,214
338,LinearOffChipLoad,LinearOffChipLoad_338,0.0,0,0.0,367.0,212,-155.0,367.0,212,-155.0,4.0,4,36.75,0,53,53,0,0,53
339,BinaryMapAccum,BinaryMapAccum_339 (fn: Matmul(transposed=False)),202.0,214,12.0,810.0,822,12.0,608.0,608,0.0,4.0,1,128.0,128,640,640,0,480,822
340,Accum,Accum_340 (1 D) (fn: Add),682.0,214,-468.0,683.0,695,12.0,1.0,481,480.0,1.0,1,1.0,1,640,640,0,480,695
341,UnaryMap,UnaryMap_341 (fn: RowWiseSum),684.0,695,11.0,685.0,696,11.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,696
342,BinaryMap,BinaryMap_342 (fn: Div),811.0,822,11.0,843.0,854,11.0,32.0,32,0.0,1.0,1,32.0,32,32,32,0,0,854
343,OffChipStore,OffChipStore_343,844.0,854,10.0,856.0,867,11.0,12.0,13,1.0,1.0,1,12.0,0,32,32,32,0,867
