context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,332,0,13,True,13
36,LinearOffChipLoad,334,0,37,False,37
36,LinearOffChipLoad,334,37,74,False,37
36,LinearOffChipLoad,334,74,111,False,37
36,LinearOffChipLoad,334,199,235,True,36
35,BinaryMap,335,38,198,False,160
35,BinaryMap,335,198,358,False,160
35,BinaryMap,335,358,518,False,160
35,BinaryMap,335,518,678,True,160
37,UnaryMap,336,199,200,False,1
37,UnaryMap,336,359,360,False,1
37,UnaryMap,336,519,520,False,1
37,UnaryMap,336,679,680,True,1
40,LinearOffChipLoad,338,0,37,False,37
40,LinearOffChipLoad,338,37,74,False,37
40,LinearOffChipLoad,338,74,111,False,37
40,LinearOffChipLoad,338,331,367,True,36
39,BinaryMapAccum,339,202,330,False,128
39,BinaryMapAccum,339,362,490,False,128
39,BinaryMapAccum,339,522,650,False,128
39,BinaryMapAccum,339,682,810,True,128
41,Accum,340,682,683,True,1
42,UnaryMap,341,684,685,True,1
43,BinaryMap,342,811,843,True,32
44,OffChipStore,343,844,856,False,12
