name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,308,0,29,False
RepeatStatic,309,29,29,False
RepeatStatic,309,29,29,False
RepeatStatic,309,29,29,False
RepeatStatic,309,29,29,False
LinearOffChipLoad,310,0,53,False
LinearOffChipLoad,310,53,106,False
LinearOffChipLoad,310,106,159,False
LinearOffChipLoad,310,159,212,False
BinaryMap,311,53,213,False
BinaryMap,311,213,373,False
BinaryMap,311,373,533,False
BinaryMap,311,533,693,False
UnaryMap,312,213,214,False
UnaryMap,312,373,374,False
UnaryMap,312,533,534,False
UnaryMap,312,693,694,False
Broadcast,313,214,214,False
Broadcast,313,373,374,False
Broadcast,313,533,534,False
Broadcast,313,693,694,False
LinearOffChipLoad,314,0,53,False
LinearOffChipLoad,314,53,106,False
LinearOffChipLoad,314,106,159,False
LinearOffChipLoad,314,159,212,False
BinaryMapAccum,315,694,822,False
Accum,316,694,695,False
UnaryMap,317,695,696,False
BinaryMap,318,822,854,False
OffChipStore,319,854,867,False
