context_id,name,id,start_ns,end_ns,is_stop,duration
33,LinearOffChipLoad,308,0,13,True,13
36,LinearOffChipLoad,310,0,37,False,37
36,LinearOffChipLoad,310,37,74,False,37
36,LinearOffChipLoad,310,74,111,False,37
36,LinearOffChipLoad,310,199,235,True,36
35,BinaryMap,311,38,198,False,160
35,BinaryMap,311,198,358,False,160
35,BinaryMap,311,358,518,False,160
35,BinaryMap,311,518,678,True,160
37,UnaryMap,312,199,200,False,1
37,UnaryMap,312,359,360,False,1
37,UnaryMap,312,519,520,False,1
37,UnaryMap,312,679,680,True,1
40,LinearOffChipLoad,314,0,37,False,37
40,LinearOffChipLoad,314,37,74,False,37
40,LinearOffChipLoad,314,74,111,False,37
40,LinearOffChipLoad,314,331,367,True,36
39,BinaryMapAccum,315,202,330,False,128
39,BinaryMapAccum,315,362,490,False,128
39,BinaryMapAccum,315,522,650,False,128
39,BinaryMapAccum,315,682,810,True,128
41,Accum,316,682,683,True,1
42,UnaryMap,317,684,685,True,1
43,BinaryMap,318,811,843,True,32
44,OffChipStore,319,844,856,False,12
