name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,296,0,11,False
RepeatStatic,297,11,11,False
RepeatStatic,297,11,11,False
RepeatStatic,297,11,11,False
RepeatStatic,297,11,11,False
LinearOffChipLoad,298,0,17,False
LinearOffChipLoad,298,17,34,False
LinearOffChipLoad,298,34,51,False
LinearOffChipLoad,298,51,68,False
BinaryMap,299,17,57,False
BinaryMap,299,57,97,False
BinaryMap,299,97,137,False
BinaryMap,299,137,177,False
UnaryMap,300,57,58,False
UnaryMap,300,97,98,False
UnaryMap,300,137,138,False
UnaryMap,300,177,178,False
Broadcast,301,58,58,False
Broadcast,301,97,98,False
Broadcast,301,137,138,False
Broadcast,301,177,178,False
LinearOffChipLoad,302,0,17,False
LinearOffChipLoad,302,17,34,False
LinearOffChipLoad,302,34,51,False
LinearOffChipLoad,302,51,68,False
BinaryMapAccum,303,178,210,False
Accum,304,178,179,False
UnaryMap,305,179,180,False
BinaryMap,306,210,218,False
OffChipStore,307,218,225,False
