name,id,start_ns,end_ns,is_stop
LinearOffChipLoad,284,0,8,False
RepeatStatic,285,8,8,False
RepeatStatic,285,8,8,False
LinearOffChipLoad,286,0,11,False
LinearOffChipLoad,286,11,22,False
BinaryMap,287,11,28,False
BinaryMap,287,28,45,False
UnaryMap,288,28,29,False
UnaryMap,288,45,46,False
Broadcast,289,29,29,False
Broadcast,289,45,46,False
LinearOffChipLoad,290,0,11,False
LinearOffChipLoad,290,11,22,False
BinaryMapAccum,291,46,62,False
Accum,292,46,47,False
UnaryMap,293,47,48,False
BinaryMap,294,62,63,False
OffChipStore,295,63,69,False
