op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
284,LinearOffChipLoad,LinearOffChipLoad_284,0.0,0,0.0,5.0,8,3.0,5.0,8,3.0,1.0,1,5.0,0,8,8,0,0,8
285,RepeatStatic,RepeatStatic_285,,8,,,8,,,0,,,2,,0,0,0,0,0,8
286,LinearOffChipLoad,LinearOffChipLoad_286,0.0,0,0.0,18.0,22,4.0,18.0,22,4.0,2.0,2,9.0,0,11,11,0,0,11
287,BinaryMap,BinaryMap_287 (fn: Matmul),10.0,11,1.0,44.0,45,1.0,34.0,34,0.0,2.0,2,17.0,17,17,17,0,0,28
288,UnaryMap,UnaryMap_288 (fn: Exp),28.0,28,0.0,46.0,46,0.0,18.0,18,0.0,2.0,2,1.0,1,17,17,0,0,29
289,Broadcast,Broadcast_289,,29,,,46,,,17,,,2,,0,17,17,0,0,29
290,LinearOffChipLoad,LinearOffChipLoad_290,0.0,0,0.0,18.0,22,4.0,18.0,22,4.0,2.0,2,9.0,0,11,11,0,0,11
291,BinaryMapAccum,BinaryMapAccum_291 (fn: Matmul(transposed=False)),31.0,29,-2.0,64.0,62,-2.0,33.0,33,0.0,2.0,1,16.0,16,34,34,0,17,62
292,Accum,Accum_292 (1 D) (fn: Add),48.0,29,-19.0,49.0,47,-2.0,1.0,18,17.0,1.0,1,1.0,1,34,34,0,17,47
293,UnaryMap,UnaryMap_293 (fn: RowWiseSum),50.0,47,-3.0,51.0,48,-3.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,48
294,BinaryMap,BinaryMap_294 (fn: Div),65.0,62,-3.0,66.0,63,-3.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,63
295,OffChipStore,OffChipStore_295,67.0,63,-4.0,72.0,69,-3.0,5.0,6,1.0,1.0,1,5.0,0,6,6,1,0,69
